name gnina_score gnina_score_min smina_score_min min_rmsd 
NBSYWYDTENSXBT-UHFFFAOYSA-N-P44-P44-P59-607683 5.630 4.990 -3.961 0.886
BSVNQXWQRHYPAD-UHFFFAOYSA-N-P44-P44-P59-607683 3.844 4.462 -5.027 2.538
HLSNBHSQIQYOHG-UHFFFAOYSA-N-P44-P44-P59-607683 5.281 4.985 -4.256 1.589
YOAXZQQTVRCEBP-UHFFFAOYSA-N-P59-P44-P59-607683 5.193 5.067 -6.324 0.600
CYFRPBSTOBXQKE-UHFFFAOYSA-N-P59-P44-P59-607683 3.840 4.351 -5.055 2.856
BMCKSBZOTFNPIL-UHFFFAOYSA-N-P59-P44-P59-607683 5.773 5.681 -4.576 3.964
VJOIGCRBZFCYGX-UHFFFAOYSA-N-P44-P44-P59-607683 5.853 5.193 -4.749 1.642
MPDKOWNZOWYPRW-UHFFFAOYSA-N-P59-P44-P59-607683 5.586 5.346 -4.201 0.638
MCZKVONZQJYAQI-UHFFFAOYSA-N-P44-P44-P59-607683 6.076 5.172 -3.939 1.900
JVIRNHZTEXQXHA-UHFFFAOYSA-N-P59-P44-P59-607683 5.294 5.226 -4.999 3.049
XVQHHKXSKMBPQT-UHFFFAOYSA-N-P59-P44-P59-607683 5.461 5.300 -3.817 0.493
MXIUPJWCQVJUMZ-UHFFFAOYSA-N-P59-P44-P59-607683 5.565 5.183 -4.192 2.035
RQXYZFKEMWKANU-UHFFFAOYSA-N-P59-P44-P59-607683 5.457 5.260 -4.380 0.748
IJRARSPIMMZICH-UHFFFAOYSA-N-P59-P44-P59-607683 5.300 5.258 -5.135 2.570
FGPMSDVKCLTFMG-UHFFFAOYSA-N-P44-P44-P59-607683 6.001 5.604 -3.466 1.312
UFUAWFLWFNLNKA-UHFFFAOYSA-N-P44-P44-P59-607683 5.233 5.019 -4.276 0.586
NARCRKIYQQAMKD-UHFFFAOYSA-N-P59-P44-P59-607683 6.100 5.538 -3.473 1.636
BELMHCHYUUADOG-UHFFFAOYSA-N-P59-P44-P59-607683 5.797 5.063 -4.141 1.520
FSZHASORYOLAAD-UHFFFAOYSA-N-P44-P44-P59-607683 6.135 5.682 -3.248 1.358
HYNJWYPVYMBONR-UHFFFAOYSA-N-P44-P44-P59-607683 5.879 5.656 -3.779 1.201
PPUOUOKBNGDDAK-UHFFFAOYSA-N-P59-P44-P59-607684 5.279 5.466 -6.716 1.017
