,xx01zvns2b,xx01zvns2b,xx01zvns2b,a71ev2a,a71ev2a,a71ev2a,d68ev3c,d68ev3c,d68ev3c
,openbind_xx01zvns2b_c2_hit_analogues_85percent,openbind_xx01zvns2b_c2_hit_analogues_90percent,openbind_xx01zvns2b_c2_hit_analogues_95percent,openbind_a71ev2a_c2_hit_analogues_85percent,openbind_a71ev2a_c2_hit_analogues_90percent,openbind_a71ev2a_c2_hit_analogues_95percent,openbind_d68ev3c_c2_hit_analogues_85percent,openbind_d68ev3c_c2_hit_analogues_90percent,openbind_d68ev3c_c2_hit_analogues_95percent
smiles,,,,,,,,,
Nc1ccc(N2CCNCC2)cn1,True,False,False,False,False,False,False,False,False
NCCc1nnc2ccccn12,True,True,True,False,False,False,False,False,False
Clc1cnn2c1CNCC2,True,False,False,False,False,False,False,False,False
BrCc1c[nH]cn1,True,False,False,False,False,False,True,False,False
O=S(=O)(Cl)c1ccc2ncsc2c1,True,False,False,False,False,False,True,False,False
NCC(=O)N1CCc2sccc2C1,True,True,False,False,False,False,True,True,True
NNc1ccnc2ccccc12,True,False,False,False,False,False,False,False,False
Cn1ncc2c(C(=O)O)ccnc21,True,False,False,False,False,False,False,False,False
Clc1nc(-c2ccccn2)nc2ccccc12,True,False,False,False,False,False,False,False,False
CC(N)c1nnc2ccccn12,True,True,False,False,False,False,False,False,False
Cn1cnc2cc(CN)ccc21,True,False,False,False,False,False,True,False,False
Oc1cnn2c1CNCC2,True,False,False,False,False,False,False,False,False
Nc1cc(C2CC2)ccn1,True,False,False,False,False,False,False,False,False
O=S(=O)(Cl)c1ccc2scnc2c1,True,False,False,False,False,False,True,False,False
CNc1ncnc2ccccc12,True,False,False,False,False,False,False,False,False
Nc1cc(Cl)cc2cccnc12,True,False,False,False,False,False,False,False,False
Nc1nnc2ccc(Cl)cn12,True,False,False,True,False,False,True,False,False
Cc1cc(O)c2cccc(C)c2n1,True,False,False,False,False,False,False,False,False
Cc1ccc2cc(F)cc(Br)c2n1,True,False,False,False,False,False,False,False,False
Cc1ccc2cc(Cl)cc(Br)c2n1,True,False,False,False,False,False,False,False,False
NCC1(c2ccccn2)CCC1,True,False,False,False,False,False,False,False,False
O=C(O)C1CCCN(C(=O)c2ccc(F)cc2)C1,True,False,False,True,False,False,False,False,False
O=C1CCC(C(=O)O)(c2ccccc2)CN1,True,True,False,False,False,False,False,False,False
NC(Cc1cnc2ccccc2c1)C(=O)O,True,True,False,False,False,False,False,False,False
O=C1NC(=O)c2cc(NC(=O)C3CCNCC3)ccc21,True,False,False,True,False,False,False,False,False
NC1CCCN(c2ccncn2)C1,True,False,False,False,False,False,False,False,False
Cc1ccc2c(C(=O)O)ccnc2c1C,True,False,False,False,False,False,False,False,False
COc1ccc2nc(C)cc(C(=O)O)c2c1,True,False,False,False,False,False,False,False,False
CN1CCn2ncc(CO)c2C1,True,False,False,False,False,False,False,False,False
Cc1ccc2ncccc2c1N,True,False,False,False,False,False,False,False,False
CNc1cccc2ncccc12,True,False,False,False,False,False,False,False,False
Nc1c(Cl)ccc2ncccc12,True,True,False,False,False,False,False,False,False
Nc1c(O)ccc2ncccc12,True,False,False,False,False,False,False,False,False
Nc1cccc2nc(Cl)ccc12,True,False,False,False,False,False,False,False,False
Nc1c(F)ccc2ncccc12,True,False,False,False,False,False,False,False,False
Nc1cccc2ncc(Cl)cc12,True,True,False,False,False,False,False,False,False
Nc1ccc(S)c2ncccc12,True,False,False,False,False,False,False,False,False
Cc1ccnc2cccc(N)c12,True,False,False,False,False,False,False,False,False
CCc1ccc(N)c2cccnc12,True,False,False,False,False,False,False,False,False
Cc1ccnc2c(Br)ccc(N)c12,True,False,False,False,False,False,False,False,False
Cc1ccc2c(N)ccc(Br)c2n1,True,True,True,False,False,False,False,False,False
Nc1ccc(OC(F)F)c2ncccc12,True,True,False,False,False,False,False,False,False
Nc1ccc(N2CCCCC2)c2ncccc12,True,False,False,False,False,False,False,False,False
Nc1ccc(N2CCCCC2)c2cccnc12,True,False,False,False,False,False,False,False,False
Nc1ccc2c(Cl)ccc(Cl)c2n1,True,False,False,False,False,False,False,False,False
Nc1ccc2ccc(Cl)c(Cl)c2n1,True,False,False,False,False,False,False,False,False
NCC1(c2ccncc2)CCCC1,True,True,False,False,False,False,False,False,False
NCCN1CCN(c2ncccn2)CC1,True,False,False,True,True,False,False,False,False
COc1nc(N2CCNCC2)ncc1Br,True,False,False,False,False,False,False,False,False
CCOc1ccnc(N2CCNCC2)n1,True,True,True,False,False,False,False,False,False
NCCCN1CCN(c2ncccn2)CC1,True,False,False,True,True,False,False,False,False
CC(N)c1nc2ccccc2[nH]1,True,False,False,False,False,False,False,False,False
CNc1ccnc2ccc(C)cc12,True,False,False,False,False,False,False,False,False
CNc1ccnc2c(C)cccc12,True,False,False,False,False,False,False,False,False
Cc1nc2ccccc2c(N)c1C,True,False,False,False,False,False,False,False,False
CCc1c(C)nc2ccccc2c1N,True,False,False,False,False,False,False,False,False
N#Cc1cnc2c(Br)cccc2c1N,True,False,False,False,False,False,False,False,False
Fc1ccc2nccc(N3CCNCC3)c2c1,True,True,False,False,False,False,False,False,False
Clc1ccc2c(N3CCNCC3)ccnc2c1,True,True,False,False,False,False,False,False,False
Nc1ccnc2cc(OC(F)(F)F)ccc12,True,True,False,False,False,False,False,False,False
Cc1cnc2ccccc2c1N,True,False,False,False,False,False,False,False,False
Nc1ccnc2c(I)cccc12,True,False,False,False,False,False,False,False,False
CCCNc1ccnc2c(OC(F)(F)F)cccc12,True,True,False,False,False,False,False,False,False
Nc1ccnc2c(Br)cc(F)cc12,True,False,False,False,False,False,False,False,False
Cc1cc(N)c2cc(Br)ccc2n1,True,True,True,False,False,False,False,False,False
N#Cc1cnc2ccccc2c1N1CCNCC1,True,False,False,False,False,False,False,False,False
CCc1cc(N)c2ccccc2n1,True,False,False,False,False,False,False,False,False
Nc1ccnc2c(Cl)cc(Br)cc12,True,False,False,False,False,False,False,False,False
CNC(=O)N1CCNCC1,True,False,False,False,False,False,False,False,False
COCC(=O)Nc1cccc(N)c1,True,False,False,False,False,False,False,False,False
NC(=O)C(=O)Nc1cccc(N)c1,True,False,False,True,False,False,False,False,False
CC(C)C(=O)Nc1cccc(N)c1,True,False,False,True,False,False,True,False,False
Nc1cccc(NC(=O)C2CC2)c1,True,False,False,True,False,False,True,False,False
COC(C)C(=O)Nc1cccc(N)c1,True,False,False,True,False,False,False,False,False
CN1CCN(C(N)=O)CC1,True,True,False,False,False,False,False,False,False
CN1CCN(C(=O)CN)CC1,True,False,False,False,False,False,False,False,False
CN1CCN(C(=O)NN)CC1,True,True,True,False,False,False,False,False,False
CCN1CCN(C(N)=O)CC1,True,True,True,False,False,False,False,False,False
CC(CN)N1CCN(C)CC1,True,False,False,False,False,False,False,False,False
CC(=O)N1CCN(CCN)CC1,True,False,False,False,False,False,False,False,False
CCN1CCN(C(=O)CN)CC1,True,False,False,False,False,False,False,False,False
CN1CCN(C(=O)c2ccccc2N)CC1,True,False,False,True,False,False,True,False,False
NC(=O)c1cnccc1N,True,True,False,True,True,False,True,False,False
CNC(=O)c1cnccc1N,True,True,False,True,True,False,True,True,False
CN(C)C(=O)c1cnccc1N,True,False,False,True,False,False,False,False,False
NCC(=O)Nc1cccc(C(N)=O)c1,True,False,False,True,True,False,False,False,False
COCC(=O)Nc1cccc(CN)c1,True,False,False,True,False,False,False,False,False
NC(=O)CNC(=O)c1cccc(N)c1,True,False,False,True,True,False,False,False,False
CC(C)Oc1ccc(N)cc1C(N)=O,True,False,False,False,False,False,False,False,False
CN(C)CC(=O)Nc1cccc(CN)c1,True,False,False,True,False,False,False,False,False
CN(C)CCNC(=O)c1cccc(N)c1,True,False,False,True,True,False,False,False,False
CCC(C)C(=O)Nc1cccc(CN)c1,True,False,False,True,False,False,True,False,False
COC(=O)CNC(=O)c1cccc(N)c1,True,False,False,False,False,False,True,False,False
CCOCCCNC(=O)c1cccc(N)c1,True,False,False,False,False,False,False,False,False
NC(=O)c1cc(N2CCOCC2)ccc1N,True,False,False,True,False,False,False,False,False
Cc1ccc(C(=O)N2CCSCC2)cc1N,True,False,False,True,False,False,True,False,False
Cc1c(N)cccc1C(=O)N1CCOCC1,True,False,False,False,False,False,False,False,False
Cc1ccc(N)cc1C(=O)N1CCCCC1,True,False,False,True,True,False,True,False,False
Cc1ccc(C(=O)N2CCOCC2)cc1N,True,False,False,True,False,False,False,False,False
NC(=O)c1cc(N2CCCCC2)ccc1N,True,False,False,True,True,False,True,False,False
Cc1ccc(C(=O)Nc2ccccc2)cc1N,True,True,False,True,False,False,True,True,False
CNC(=O)c1ccc(N2CCSCC2)c(N)c1,True,False,False,True,False,False,False,False,False
Cc1c(N)cccc1C(=O)Nc1ccccc1,True,True,False,True,False,False,True,False,False
CN(C(=O)c1cccc(N)c1)c1ccccc1,True,False,False,True,True,False,True,False,False
CN1CCN(c2ccc(N)cc2C(N)=O)CC1,True,True,False,True,False,False,False,False,False
Nc1cccc(C(=O)NC2CCC(=O)NC2=O)c1,True,False,False,True,False,False,False,False,False
NC(=O)c1cccc(NCc2ccc(F)cc2)c1,True,False,False,False,False,False,True,False,False
Nc1cccc(C(=O)NCc2ccccc2F)c1,True,False,False,False,False,False,True,False,False
COc1ccc(C(=O)N2CCN(C)CC2)cc1N,True,False,False,True,False,False,False,False,False
