target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C198896,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,CC(C)(C)OC(=O)C(N)Cc1ccc([N+](=O)[O-])cc1,CC(C)(C)OC(=O)C(Cc1ccc([N+](=O)[O-])cc1)NC(=O)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,Amidation,,
C190908,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,COCCN1Cc2cc(N)ccc2C1=O,COCCN1Cc2cc(NC(=O)c3cc(Cl)cc4[nH]c(C)nc34)ccc2C1=O,Amidation,,
C198899,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,CC(C)(C)OC(=O)N1CCC(c2ccc(N)cc2)C1,CC(C)(C)OC(=O)N1CCC(c2ccc(NC(=O)c3cc(Cl)cc(NC(=O)OCc4ccccc4)c3)cc2)C1,Amidation,,
C190910,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,COCCCN1Cc2ccc(N)cc2C1,COCCCN1Cc2ccc(NC(=O)c3cc(Cl)cc4[nH]c(C)nc34)cc2C1,Amidation,,
C163212,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,CC(C)(C)OC(=O)N1CCc2c(N)ccc(Cl)c2C1,CC(C)(C)OC(=O)N1CCc2c(NC(=O)c3cc(Cl)cc(NC(=O)OCc4ccccc4)c3)ccc(Cl)c2C1,Amidation,,
C198909,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,Nc1ccc(CC(=O)N2CCCc3ccccc32)cc1,O=C(Nc1cc(Cl)cc(C(=O)Nc2ccc(CC(=O)N3CCCc4ccccc43)cc2)c1)OCc1ccccc1,Amidation,,
C163214,1,,,,Nc1ccc2c(c1)C(=O)N(C1CCCNC1=O)C2=O,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,O=C(Nc1cc(Cl)cc(C(=O)Nc2ccc3c(c2)C(=O)N(C2CCCNC2=O)C3=O)c1)OCc1ccccc1,Amidation,,
C163215,1,,,,Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,O=C1CCC(N2Cc3ccc(NC(=O)c4cc(Cl)cc(NC(=O)OCc5ccccc5)c4)cc3C2=O)C(=O)N1,Amidation,,
C190914,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,CCOCCCN1Cc2ccc(N)cc2C1,CCOCCCN1Cc2ccc(NC(=O)c3cc(Cl)cc4[nH]c(C)nc34)cc2C1,Amidation,,
C163218,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,Cc1cccc(NC(=O)Nc2cccc(CN)c2)c1,Cc1cccc(NC(=O)Nc2cccc(CNC(=O)c3cc(Cl)cc(NC(=O)OCc4ccccc4)c3)c2)c1,Amidation,,
C190919,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,Nc1ccc2c(c1)CN(C1CC(=O)NC1=O)C2=O,Cc1nc2c(C(=O)Nc3ccc4c(c3)CN(C3CC(=O)NC3=O)C4=O)cc(Cl)cc2[nH]1,Amidation,,
