target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C292708,1,,,,NNC1CS(=O)(=O)C1,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N(N)C1CS(=O)(=O)C1,N-nucleophilic_aromatic_substitution,,
C290811,1,,,,CC(Br)C(=O)c1ccco1,Cn1c(S)nnc1-c1ccncc1,CC(Sc1nnc(-c2ccncc2)n1C)C(=O)c1ccco1,Nucleophilic_substitution_with_thiol,,
C290815,1,,,,CC(Br)C(=O)c1ccco1,Sc1nnc(-c2ccncc2)n1C1CC1,CC(Sc1nnc(-c2ccncc2)n1C1CC1)C(=O)c1ccco1,Nucleophilic_substitution_with_thiol,,
C290818,1,,,,CC(Br)C(=O)c1ccco1,C=C(C)Cn1c(S)nnc1-c1ccncc1,C=C(C)Cn1c(SC(C)C(=O)c2ccco2)nnc1-c1ccncc1,Nucleophilic_substitution_with_thiol,,
C290821,1,,,,CC(Br)C(=O)c1ccco1,Sc1nnc(-c2ccncc2)n1Cc1ccco1,CC(Sc1nnc(-c2ccncc2)n1Cc1ccco1)C(=O)c1ccco1,Nucleophilic_substitution_with_thiol,,
C292589,1,,,,CC1=NNC(=O)C1,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N1N=C(C)CC1=O,N-nucleophilic_aromatic_substitution,,
C291666,1,,,,CC(Sc1ccc(Br)c(Br)n1)C(=O)O,COCC12CCC(C(=O)OC)(CC1)N2,COCC12CCC(C(=O)OC)(CC1)N2C(=O)C(C)Sc1ccc(Br)c(Br)n1,Amidation,,
C292624,1,,,,NNC12CC(C1)C2,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N(N)C12CC(C1)C2,N-nucleophilic_aromatic_substitution,,
C291669,1,,,,CC(Sc1ccc(Br)c(Br)n1)C(=O)O,COC(=O)C12CCC(C(F)F)(CC1)N2,COC(=O)C12CCC(C(F)F)(CC1)N2C(=O)C(C)Sc1ccc(Br)c(Br)n1,Amidation,,
C290827,1,,,,CC(Br)C(=O)c1ccco1,Sc1nnc(-c2ccncc2)n1Cc1ccccc1,CC(Sc1nnc(-c2ccncc2)n1Cc1ccccc1)C(=O)c1ccco1,Nucleophilic_substitution_with_thiol,,
C292625,1,,,,CC1(C)CC1NN,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N(N)C1CC1(C)C,N-nucleophilic_aromatic_substitution,,
C292628,1,,,,CC(C)(CO)NN,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N(N)C(C)(C)CO,N-nucleophilic_aromatic_substitution,,
C290933,1,,,,O=C(O)c1cc2n(c(=O)c1)CCS2,NC1(CF)COC1,O=C(NC1(CF)COC1)c1cc2n(c(=O)c1)CCS2,Amidation,,
C292590,1,,,,CCC1CC=NN1,COC(=O)c1cc(C2CC2)ncc1Br,CCC1CC=NN1c1cnc(C2CC2)cc1C(=O)OC,N-nucleophilic_aromatic_substitution,,
C290971,1,,,,O=C(O)c1cc2n(c(=O)c1)CCS2,CC1(N)CCOC1,CC1(NC(=O)c2cc3n(c(=O)c2)CCS3)CCOC1,Amidation,,
C290982,1,,,,O=C(O)c1cc2n(c(=O)c1)CCS2,NC1CC2CCC1O2,O=C(NC1CC2CCC1O2)c1cc2n(c(=O)c1)CCS2,Amidation,,
C290984,1,,,,O=C(O)c1cc2n(c(=O)c1)CCS2,CCC1OCCC1N,CCC1OCCC1NC(=O)c1cc2n(c(=O)c1)CCS2,Amidation,,
C290986,1,,,,O=C(O)c1cc2n(c(=O)c1)CCS2,C=CC1OCCC1N,C=CC1OCCC1NC(=O)c1cc2n(c(=O)c1)CCS2,Amidation,,
C290993,1,,,,O=C(O)c1cc2n(c(=O)c1)CCS2,COCC1(N)CCC1,COCC1(NC(=O)c2cc3n(c(=O)c2)CCS3)CCC1,Amidation,,
C292643,1,,,,NNCC1CCOC1,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N(N)CC1CCOC1,N-nucleophilic_aromatic_substitution,,
C292644,1,,,,NNCC1CCCC1,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N(N)CC1CCCC1,N-nucleophilic_aromatic_substitution,,
C291016,1,,,,O=C(O)c1cc2n(c(=O)c1)CCS2,NC1COC2(CC2)C1,O=C(NC1COC2(CC2)C1)c1cc2n(c(=O)c1)CCS2,Amidation,,
C291028,1,,,,CC(C)(C)Sc1cc(C(=O)O)ccn1,C=CC(N)COC,C=CC(COC)NC(=O)c1ccnc(SC(C)(C)C)c1,Amidation,,
C291042,1,,,,CC(C)(C)Sc1cc(C(=O)O)ccn1,C=C1COCC1N,C=C1COCC1NC(=O)c1ccnc(SC(C)(C)C)c1,Amidation,,
C291043,1,,,,CC(C)(C)Sc1cc(C(=O)O)ccn1,CC(N)C1CCO1,CC(NC(=O)c1ccnc(SC(C)(C)C)c1)C1CCO1,Amidation,,
C291048,1,,,,CC(C)(C)Sc1cc(C(=O)O)ccn1,COCC(N)C#N,COCC(C#N)NC(=O)c1ccnc(SC(C)(C)C)c1,Amidation,,
C291060,1,,,,O=C(O)c1cc2n(c(=O)c1)CCS2,CC(N)C1CCCO1,CC(NC(=O)c1cc2n(c(=O)c1)CCS2)C1CCCO1,Amidation,,
C291064,1,,,,CC(C)(C)Sc1cc(C(=O)O)ccn1,COCC(N)C(C)C,COCC(NC(=O)c1ccnc(SC(C)(C)C)c1)C(C)C,Amidation,,
