name,gnina_score,gnina_score_min,smina_score_min,min_rmsd
C28323-P198,5.367,5.130,-4.662,2.636
C38131-P71,4.271,4.058,-3.493,2.300
C14078-P135,4.750,4.803,-6.909,0.735
C1002-P233,4.346,4.273,-3.632,1.591
C10333-P564,2.870,4.254,23.468,4.104
C10575-P174,5.629,5.090,-7.185,1.116
C10535-P183,5.206,5.209,-4.531,0.571
C3842-P87,3.705,4.212,14.570,2.126
C3863-P87,3.431,3.821,21.963,2.167
C1399-P296,4.405,4.478,-5.049,0.915
C4256-P174,5.320,4.697,-6.131,1.740
C33613-P137,6.002,6.103,-6.663,0.350
C1132-P228,2.595,2.778,52.222,2.711
C11987-P343,5.076,5.150,-6.937,0.409
C12009-P343,5.673,5.356,-6.880,0.685
C15471-P171,5.059,4.986,-7.379,0.283
C15476-P171,5.162,5.118,-7.256,0.777
C15494-P171,4.957,4.981,-8.003,0.697
C13918-P135,4.813,4.852,-5.650,0.189
C1142-P465,2.918,3.209,37.744,2.228
P496339,5.503,5.503,-6.848,0.000
P497800,4.336,3.658,-4.847,2.386
P497801,4.328,3.946,-4.082,2.202
P497802,4.021,3.843,-4.633,3.071
P497816,4.054,4.090,-3.988,2.439
P497818,4.722,3.875,-4.725,2.076
P497823,4.641,4.033,-5.096,2.176
P497828,4.596,4.210,-4.239,1.933
P497834,4.687,4.112,-4.073,1.833
P497839,4.630,3.909,-5.199,2.137
P497841,4.225,4.254,-4.113,2.486
P497842,4.773,4.006,-4.912,2.224
P497849,4.699,4.622,-3.275,1.720
P497852,4.686,3.913,-5.093,2.947
P497859,4.064,4.370,-3.954,2.237
P497860,4.159,4.161,-4.795,2.646
P497863,4.849,4.096,-4.931,2.037
P497871,4.581,4.059,-5.223,2.149
P497876,4.879,3.943,-4.673,2.308
P497878,4.829,4.175,-4.498,2.560
P497882,4.749,4.345,-5.599,2.047
P497884,6.044,6.061,-6.633,0.209
P497887,5.992,6.010,-6.120,0.405
P497894,6.211,5.903,-6.774,1.798
P497897,6.064,6.169,-6.095,0.260
P497899,5.968,6.216,-7.549,1.372
P497900,5.887,6.040,-5.614,0.352
P497903,6.234,6.278,-6.350,0.202
P497906,5.780,5.863,-7.288,0.670
P497907,6.122,6.155,-6.008,1.294
P497909,5.518,5.690,-6.069,0.403
P497914,5.681,5.682,-4.995,0.494
P497915,6.087,5.892,-4.539,0.630
P497918,6.235,6.211,-1.644,0.292
P497919,5.970,6.136,-3.468,0.474
P497922,6.246,5.690,-6.433,1.753
P497926,6.298,5.740,-5.980,1.525
P497927,6.121,6.040,-7.273,0.351
P497929,6.326,5.696,-6.726,2.939
P497931,6.305,5.634,-6.544,2.999
P497933,6.436,6.066,-6.291,1.134
P497934,6.309,5.956,-5.908,0.771
P497935,6.384,6.172,-6.166,0.829
P497936,6.097,6.078,-1.619,0.861
P497937,5.284,5.615,-5.484,1.641
P497940,5.674,5.642,-5.603,0.765
P497942,5.399,5.048,-6.824,0.914
P497943,5.265,4.959,-6.983,1.141
P497945,5.588,5.324,-6.404,0.512
P497946,5.573,5.453,-7.121,1.105
P497947,5.587,5.447,-6.945,1.116
P497948,5.607,5.885,-5.423,1.173
P497949,4.100,4.105,-4.963,1.621
P497956,4.001,3.750,-3.932,0.830
P497960,3.818,3.631,-4.321,1.123
P497963,4.390,4.163,-3.859,0.708
P497965,3.954,4.104,-4.386,1.435
P497968,4.165,4.220,-5.198,2.029
P497970,4.582,4.217,-5.290,1.626
P497972,4.178,4.312,-5.425,1.660
P497973,4.284,4.327,-4.877,2.259
P497975,4.102,4.304,-5.216,1.746
P497978,3.982,4.143,-4.653,1.307
P497981,4.283,4.463,-5.388,1.238
P497982,4.136,4.356,-5.386,1.638
P497986,3.956,3.933,-4.107,0.726
P497989,4.144,3.943,-4.512,1.028
P497995,4.319,4.308,-4.617,0.892
P498001,4.369,4.175,-5.207,2.171
P498008,4.272,4.378,-5.030,1.648
P498011,4.131,4.209,-4.692,1.829
P498013,4.141,4.055,-4.123,1.246
P498017,4.032,4.012,-4.109,0.833
P498021,4.319,4.271,-5.065,1.739
P498024,3.994,4.360,-6.008,2.294
P498026,4.331,4.271,-5.197,1.599
P498028,4.093,4.511,-5.329,1.728
P498029,4.307,4.500,-5.563,1.384
P498030,4.459,4.617,-5.341,2.427
P498032,4.336,4.208,-4.308,0.962
P498034,3.984,3.857,-4.859,1.160
P498047,4.500,4.333,-4.098,0.997
P498054,4.505,4.324,-5.020,2.457
P498055,4.327,4.324,-4.995,0.777
P498057,4.490,4.384,-5.182,1.336
P498058,4.477,4.533,-5.600,1.406
P498060,4.525,4.379,-5.557,1.949
P498063,4.497,4.391,-4.658,0.499
P498065,4.775,4.501,-3.919,1.142
P498069,4.388,4.507,-5.521,1.625
P498070,4.227,4.292,-5.708,2.021
P498077,4.601,4.690,-6.064,1.564
P498084,4.523,4.489,-4.771,2.014
P498085,4.456,4.783,-5.560,1.190
P498086,4.632,4.815,-5.370,1.876
P498087,5.202,5.100,-5.022,1.036
P498090,4.823,4.598,-4.864,1.336
P498091,5.402,5.251,-3.964,2.182
P498092,5.239,5.202,-5.564,0.553
P498094,5.112,5.068,-5.364,0.502
P498098,5.212,5.045,-5.954,0.936
P498104,5.375,5.423,-6.943,0.213
P498107,5.088,5.127,-5.557,0.411
P498109,4.889,4.892,-5.499,0.301
P498116,5.644,5.670,-6.965,0.272
P498124,5.346,5.520,-6.958,0.662
P498129,5.546,5.620,-7.469,0.476
P498132,4.963,4.842,-6.825,1.167
P498133,5.290,5.298,-5.813,2.296
P498135,5.456,5.542,-3.355,0.458
P498137,6.159,6.031,-4.440,0.681
P498138,5.059,4.672,-6.296,1.118
P498140,5.272,5.381,-5.610,0.631
P498141,4.991,4.586,-5.049,1.178
P498142,5.305,5.260,-6.068,0.397
P498145,5.219,5.209,-5.082,0.209
P498146,5.128,4.855,-5.482,0.728
P498147,5.124,5.169,-5.794,0.710
P498148,4.900,4.802,-5.212,0.727
P498149,5.201,5.233,-5.577,0.635
P498150,5.080,4.826,-5.942,1.778
P498151,5.228,5.145,-5.446,1.361
P498152,4.860,5.323,-5.924,1.336
P498153,5.088,5.513,-5.977,1.789
P498154,4.767,4.882,-5.808,0.900
P498155,5.083,4.945,-4.477,1.080
P498156,4.709,4.429,-5.617,1.503
P498157,5.165,4.997,-5.554,1.238
P498158,5.736,5.470,-5.447,1.613
P498159,5.812,5.485,-5.088,0.541
P498160,5.562,5.429,-5.767,0.923
P498163,5.531,5.418,-7.835,0.854
P498166,5.648,5.578,-7.706,0.650
P498167,5.614,5.615,-8.770,0.433
P498171,4.761,4.838,-5.767,0.739
P498172,4.783,4.862,-2.332,0.678
P498174,4.843,4.792,-5.236,0.711
P498179,4.863,4.820,-5.215,0.480
P498182,4.789,4.642,-5.713,1.004
P498188,5.068,4.997,-5.772,1.156
P498189,5.010,5.123,-5.703,1.191
P498199,4.725,4.743,-5.343,0.805
P498200,4.851,4.716,-5.431,0.914
P498204,5.290,5.144,-5.559,1.350
P498209,5.163,5.225,-5.306,0.495
P498210,5.027,4.954,-5.453,0.361
P498214,5.054,4.994,-5.581,0.966
P498216,5.076,5.080,-5.438,0.457
P498225,5.026,5.035,-5.825,1.089
P498227,5.323,5.306,-6.218,1.152
P498228,5.004,5.117,-6.355,0.702
P498229,5.106,5.183,-6.015,1.182
P498231,5.095,4.751,-5.457,1.052
P498234,5.279,5.336,-6.073,0.934
P498235,5.283,5.361,-6.082,0.980
P498238,4.890,4.684,-5.306,0.797
P498243,5.094,5.161,-5.754,0.512
P498247,5.217,4.942,-5.620,0.775
P498251,5.141,5.124,-6.028,0.519
P498253,4.948,4.791,-5.605,0.704
P498255,5.536,5.016,-5.242,1.440
P498256,5.093,5.043,-5.650,0.569
P498259,5.265,4.876,-5.895,1.071
P498261,4.865,4.875,-5.049,0.419
P498266,5.281,5.193,-5.663,0.294
P498275,5.325,5.279,-6.232,0.465
P498286,5.319,5.326,-6.451,0.489
P498293,5.334,5.306,-7.167,0.509
P498296,5.332,5.206,-6.188,1.076
P498301,5.340,5.222,-6.390,0.607
P498302,5.403,5.335,-5.772,0.727
P498303,5.455,5.487,-6.769,0.671
P498307,5.037,5.066,-6.318,1.098
P498309,5.571,5.328,-5.139,1.133
P498310,5.265,5.396,-6.485,0.519
P498314,5.386,5.330,-6.372,1.410
P498316,5.326,5.078,-5.857,1.136
P498319,5.046,4.690,-5.913,1.018
P498323,5.438,5.356,-6.587,0.319
P498331,4.873,4.920,-6.113,0.482
P498332,5.213,5.124,-5.494,0.852
P498336,5.385,5.345,-5.134,0.408
P498339,4.872,4.631,-5.956,0.541
P498345,5.311,5.044,-5.375,0.563
P498346,5.644,5.704,-6.691,0.713
P498353,4.888,4.699,-5.721,0.817
P498356,4.818,4.697,-5.745,0.469
