compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_products,num_downstream_reaction_types,num_downstream_reactions,num_downstream (Amidation),num_downstream (Steglich_esterification),num_downstream (N-nucleophilic_aromatic_substitution),num_downstream (Reductive_amination),num_downstream (Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol),num_downstream (Ester_amidation),downstream_product_ids,downstream_reaction_types,downstream_reaction_ids
145325,O=C1CCC2(CC(C(=O)O)C2)N1,CFNNIVQLDNMREA-UHFFFAOYSA-N,1.0,1.0,1669,Enamine,,EN300-1535823,39.0,EUR,,,O=C1CCC2(CC(C(=O)O)C2)N1,2025-12-01,1,1,1,1.0,,,,,,{145347},{'Amidation'},{12952}
145326,O=C(O)C1CC2CCCN2C(=O)N1,BESPWRZQRDPKFJ-UHFFFAOYSA-N,1.0,1.0,1670,Enamine,,EN300-7473309,53.0,EUR,,,O=C(O)[C@H]1C[C@H]2CCCN2C(=O)N1,2025-12-01,1,1,1,1.0,,,,,,{145348},{'Amidation'},{12953}
145327,CC(C)N1C2CCC1CC(C(=O)O)C2,TVGJERURNOUINI-UHFFFAOYSA-N,1.0,1.0,1671,Enamine,,EN300-89030,48.0,EUR,,,CC(C)N1C2CCC1CC(C(=O)O)C2,2025-12-01,1,1,1,1.0,,,,,,{145353},{'Amidation'},{12958}
145328,CCCN1C2CCC1CC(C(=O)O)C2,UDHBIRMGTBSJMQ-UHFFFAOYSA-N,1.0,1.0,1672,Enamine,,EN300-89031,48.0,EUR,,,CCCN1C2CCC1CC(C(=O)O)C2,2025-12-01,1,1,1,1.0,,,,,,{145354},{'Amidation'},{12959}
145329,O=C(O)C1CC2CCC(C1)N2C1CC1,FWZFCDRZCCCMPJ-UHFFFAOYSA-N,1.0,1.0,1673,Enamine,,EN300-45592758,42.0,EUR,,,Cl.O=C(O)C1CC2CCC(C1)N2C1CC1,2025-12-01,1,1,1,1.0,,,,,,{145355},{'Amidation'},{12960}
145330,CC=CC(=O)N1C2CCC1C(C(=O)O)C2,ZJOCUBKZTJLFSR-UHFFFAOYSA-N,1.0,1.0,1674,Enamine,,EN300-9300356,35.0,EUR,,,CC=CC(=O)N1C2CCC1C(C(=O)O)C2,2025-12-01,1,1,1,1.0,,,,,,{145357},{'Amidation'},{12962}
145332,O=C(O)C1CC2CCC(C1)N2Cc1ccccc1,DUBXJYDLYSDKOX-UHFFFAOYSA-N,1.0,1.0,1675,Enamine,,EN300-78982,30.0,EUR,,,Cl.O=C(O)C1CC2CCC(C1)N2Cc1ccccc1,2025-12-01,1,1,1,1.0,,,,,,{145363},{'Amidation'},{12968}
145333,CC(C)(C)OC(=O)N1CCCC12CC(C(=O)O)C2,JPRDSXJTSHIDCU-UHFFFAOYSA-N,1.0,1.0,1676,Enamine,,EN300-6473107,44.0,EUR,,,CC(C)(C)OC(=O)N1CCCC12CC(C(=O)O)C2,2025-12-01,1,1,1,1.0,,,,,,{145364},{'Amidation'},{12969}
145335,CC(C)(C)OC(=O)N1CC2CC(C(=O)O)CC1C2,YFEINQFIWSBGFP-UHFFFAOYSA-N,1.0,1.0,1677,Enamine,,EN300-7437455,57.0,EUR,,,CC(C)(C)OC(=O)N1C[C@H]2C[C@H](C(=O)O)C[C@@H]1C2,2025-12-01,1,1,1,1.0,,,,,,{145366},{'Amidation'},{12971}
145373,Cc1csc(C(=O)O)c1-n1cccc1,DNMVATVOBPDINI-UHFFFAOYSA-N,1.0,1.0,1679,Enamine,,EN300-5068073,20.0,EUR,,,Cc1csc(C(=O)O)c1-n1cccc1,2025-12-01,1,1,1,1.0,,,,,,{145415},{'Amidation'},{13014}
