,smiles,compound_code,refinement_status,ASAP soaks,max(pattern_bfp similarity)
0,O=C(Nc1ccc2c(c1)OCC2)c1cccc2cc[nH]c12,OB-00006923-001-002,7 - Analysed & Rejected,0.0,0.8685567010309279
1,O=C(Nc1ccc2c(c1)CNC2)c1cccc2[nH]cnc12,OB-00006929-001-002,7 - Analysed & Rejected,1.0,1.0
2,O=C(Nc1ccc2c(c1)CCC2)c1cccc2cc[nH]c12,OB-00006930-001-002,7 - Analysed & Rejected,0.0,0.9530386740331491
3,O=C(Nc1ccc2c(c1)CN(CC(F)F)C2)c1cccc2cc[nH]c12,OB-00006932-001-002,7 - Analysed & Rejected,0.0,0.9043280182232346
4,O=C(Nc1ccc2c(c1)OCC2)c1cccc2cc[nH]c12,OB-00006923-001-002,7 - Analysed & Rejected,0.0,0.8685567010309279
5,O=C(Nc1ccc2c(c1)CN(CC(F)F)C2)c1cccc2cc[nH]c12,OB-00006932-001-002,1 - Analysis Pending,0.0,0.9043280182232346
6,O=C(Nc1ccc2c(c1)OCC2)c1cccc2cc[nH]c12,OB-00006923-001-002,7 - Analysed & Rejected,0.0,0.8685567010309279
7,O=C(Nc1ccc2c(c1)CCO2)c1cccc2cc[nH]c12,OB-00006925-001-002,7 - Analysed & Rejected,0.0,0.8831168831168831
8,O=C(Nc1ccc2c(c1)OCC2)c1cccc2cc[nH]c12,OB-00006923-001-002,3 - In Refinement,0.0,0.8685567010309279
9,O=C(Nc1ccc2c(c1)CNC2)c1cccc2ccnn12,OB-00006924-001-002,3 - In Refinement,0.0,0.8781094527363185
10,O=C(Nc1ccc2c(c1)CNC2)c1cccc2ccnn12,OB-00006924-001-002,3 - In Refinement,0.0,0.8781094527363185
11,O=C(Nc1ccc2c(c1)CCC2)c1cccc2cc[nH]c12,OB-00006930-001-002,7 - Analysed & Rejected,0.0,0.9530386740331491
12,O=C(Nc1ccc2c(c1)CNC2)c1cccc2ccnn12,OB-00006924-001-002,3 - In Refinement,0.0,0.8781094527363185
13,O=C(Nc1ccc2c(c1)CN(CC(F)F)C2)c1cccc2cc[nH]c12,OB-00006932-001-002,2 - PANDDA model,0.0,0.9043280182232346
14,O=C(Nc1ccc2c(c1)CNC2)c1cccc2ccnn12,OB-00006924-001-002,3 - In Refinement,0.0,0.8781094527363185
15,O=C(Nc1ccc2c(c1)CNC2)c1cccc2ccnn12,OB-00006924-001-002,3 - In Refinement,0.0,0.8781094527363185
16,O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,OB-00006926-001-002,3 - In Refinement,5.0,1.0
17,O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,OB-00006926-001-002,3 - In Refinement,5.0,1.0
18,O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,OB-00006926-001-002,3 - In Refinement,5.0,1.0
19,O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,OB-00006926-001-002,3 - In Refinement,5.0,1.0
20,O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,OB-00006926-001-002,3 - In Refinement,5.0,1.0
21,O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,OB-00006926-001-002,3 - In Refinement,5.0,1.0
22,O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,OB-00006926-001-002,3 - In Refinement,5.0,1.0
23,O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,OB-00006926-001-002,3 - In Refinement,5.0,1.0
24,O=C(Nc1ccc2c(c1)CNC2)c1nccc2cc[nH]c12,OB-00006927-001-002,3 - In Refinement,0.0,0.9010152284263959
25,O=C(Nc1ccc2c(c1)CNC2)c1nccc2cc[nH]c12,OB-00006927-001-002,3 - In Refinement,0.0,0.9010152284263959
26,O=C(Nc1ccc2c(c1)CNC2)c1nccc2cc[nH]c12,OB-00006927-001-002,3 - In Refinement,0.0,0.9010152284263959
27,O=C(Nc1ccc2c(c1)CNC2)c1nccc2cc[nH]c12,OB-00006927-001-002,1 - Analysis Pending,0.0,0.9010152284263959
