target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C146064,1,,,,CC(=O)C(C)N,Oc1cccc2ccc(Br)nc12,CC(=O)C(C)Nc1ccc2cccc(O)c2n1,N-nucleophilic_aromatic_substitution,,
C149534,1,,,,CC(S)CC(=O)O,Cc1ncn(C)c1N,Cc1ncn(C)c1NC(=O)CC(C)S,Amidation,,
C146066,1,,,,CC1(C)CC1N,Oc1ccc2nc(Br)ccc2c1,CC1(C)CC1Nc1ccc2cc(O)ccc2n1,N-nucleophilic_aromatic_substitution,,
C146067,1,,,,CC1(C)CC1N,Oc1cccc2ccc(Br)nc12,CC1(C)CC1Nc1ccc2cccc(O)c2n1,N-nucleophilic_aromatic_substitution,,
C146068,1,,,,CCC(N)CF,Cc1cc2ccccc2nc1Br,CCC(CF)Nc1nc2ccccc2cc1C,N-nucleophilic_aromatic_substitution,,
C146069,1,,,,NC1CC12CC2,Cc1cc2ccccc2nc1Br,Cc1cc2ccccc2nc1NC1CC12CC2,N-nucleophilic_aromatic_substitution,,
C146070,1,,,,NC1CC12CC2,Cc1cc(Br)nc2ccccc12,Cc1cc(NC2CC23CC3)nc2ccccc12,N-nucleophilic_aromatic_substitution,,
C146071,1,,,,NC1CC12CC2,Oc1ccc2nc(Br)ccc2c1,Oc1ccc2nc(NC3CC34CC4)ccc2c1,N-nucleophilic_aromatic_substitution,,
C146072,1,,,,NC1CC12CC2,Oc1cccc2ccc(Br)nc12,Oc1cccc2ccc(NC3CC34CC4)nc12,N-nucleophilic_aromatic_substitution,,
C146073,1,,,,CC1(C)CC1N,Cc1cc2ccccc2nc1Br,Cc1cc2ccccc2nc1NC1CC1(C)C,N-nucleophilic_aromatic_substitution,,
C146074,1,,,,CCC(N)CF,Cc1cc(Br)nc2ccccc12,CCC(CF)Nc1cc(C)c2ccccc2n1,N-nucleophilic_aromatic_substitution,,
C146075,1,,,,CCC(N)CF,Oc1ccc2nc(Br)ccc2c1,CCC(CF)Nc1ccc2cc(O)ccc2n1,N-nucleophilic_aromatic_substitution,,
C146076,1,,,,CCC(N)CF,Oc1cccc2ccc(Br)nc12,CCC(CF)Nc1ccc2cccc(O)c2n1,N-nucleophilic_aromatic_substitution,,
C146077,1,,,,NC1(CBr)CC1,Cc1cc2ccccc2nc1Br,Cc1cc2ccccc2nc1NC1(CBr)CC1,N-nucleophilic_aromatic_substitution,,
C149538,1,,,,CC(C)(Cl)C(=O)O,Cc1ncc(N)n1C,Cc1ncc(NC(=O)C(C)(C)Cl)n1C,Amidation,,
C146079,1,,,,NC1(CBr)CC1,Oc1ccc2nc(Br)ccc2c1,Oc1ccc2nc(NC3(CBr)CC3)ccc2c1,N-nucleophilic_aromatic_substitution,,
C146080,1,,,,NC1(CBr)CC1,Oc1cccc2ccc(Br)nc12,Oc1cccc2ccc(NC3(CBr)CC3)nc12,N-nucleophilic_aromatic_substitution,,
C146081,1,,,,NC1CCOC1,Cc1cc2ccccc2nc1Br,Cc1cc2ccccc2nc1NC1CCOC1,N-nucleophilic_aromatic_substitution,,
C146082,1,,,,NC1CCOC1,Cc1cc(Br)nc2ccccc12,Cc1cc(NC2CCOC2)nc2ccccc12,N-nucleophilic_aromatic_substitution,,
C146083,1,,,,NC1CCOC1,Oc1ccc2nc(Br)ccc2c1,Oc1ccc2nc(NC3CCOC3)ccc2c1,N-nucleophilic_aromatic_substitution,,
C146084,1,,,,NC1CCOC1,Oc1cccc2ccc(Br)nc12,Oc1cccc2ccc(NC3CCOC3)nc12,N-nucleophilic_aromatic_substitution,,
C146085,1,,,,NC1CC1CO,Cc1cc2ccccc2nc1Br,Cc1cc2ccccc2nc1NC1CC1CO,N-nucleophilic_aromatic_substitution,,
C146086,1,,,,NC1CC1CO,Cc1cc(Br)nc2ccccc12,Cc1cc(NC2CC2CO)nc2ccccc12,N-nucleophilic_aromatic_substitution,,
C146087,1,,,,NC1CC1CO,Oc1ccc2nc(Br)ccc2c1,OCC1CC1Nc1ccc2cc(O)ccc2n1,N-nucleophilic_aromatic_substitution,,
C146088,1,,,,NC1CC1CO,Oc1cccc2ccc(Br)nc12,OCC1CC1Nc1ccc2cccc(O)c2n1,N-nucleophilic_aromatic_substitution,,
C146089,1,,,,CC(N)C(C)F,Cc1cc2ccccc2nc1Br,Cc1cc2ccccc2nc1NC(C)C(C)F,N-nucleophilic_aromatic_substitution,,
C146090,1,,,,CC(N)C(C)F,Cc1cc(Br)nc2ccccc12,Cc1cc(NC(C)C(C)F)nc2ccccc12,N-nucleophilic_aromatic_substitution,,
C146091,1,,,,CC(N)CCCl,Oc1ccc2nc(Br)ccc2c1,CC(CCCl)Nc1ccc2cc(O)ccc2n1,N-nucleophilic_aromatic_substitution,,
C146092,1,,,,CC(N)CCCl,Oc1cccc2ccc(Br)nc12,CC(CCCl)Nc1ccc2cccc(O)c2n1,N-nucleophilic_aromatic_substitution,,
C146093,1,,,,CC(N)CCCl,Cc1cc2ccccc2nc1Br,Cc1cc2ccccc2nc1NC(C)CCCl,N-nucleophilic_aromatic_substitution,,
C146094,1,,,,CC(N)CCCl,Cc1cc(Br)nc2ccccc12,Cc1cc(NC(C)CCCl)nc2ccccc12,N-nucleophilic_aromatic_substitution,,
C146095,1,,,,CC(N)C(C)F,Oc1ccc2nc(Br)ccc2c1,CC(F)C(C)Nc1ccc2cc(O)ccc2n1,N-nucleophilic_aromatic_substitution,,
C146096,1,,,,CC(N)C(C)F,Oc1cccc2ccc(Br)nc12,CC(F)C(C)Nc1ccc2cccc(O)c2n1,N-nucleophilic_aromatic_substitution,,
C146097,1,,,,C#CC1(N)CC1,Cc1cc2ccccc2nc1Br,C#CC1(Nc2nc3ccccc3cc2C)CC1,N-nucleophilic_aromatic_substitution,,
C146098,1,,,,C#CC1(N)CC1,Cc1cc(Br)nc2ccccc12,C#CC1(Nc2cc(C)c3ccccc3n2)CC1,N-nucleophilic_aromatic_substitution,,
C146099,1,,,,C#CC1(N)CC1,Oc1ccc2nc(Br)ccc2c1,C#CC1(Nc2ccc3cc(O)ccc3n2)CC1,N-nucleophilic_aromatic_substitution,,
C146100,1,,,,C#CC1(N)CC1,Oc1cccc2ccc(Br)nc12,C#CC1(Nc2ccc3cccc(O)c3n2)CC1,N-nucleophilic_aromatic_substitution,,
C146101,1,,,,CCC(C)(C)N,Cc1cc2ccccc2nc1Br,CCC(C)(C)Nc1nc2ccccc2cc1C,N-nucleophilic_aromatic_substitution,,
C146102,1,,,,CCC(C)(C)N,Cc1cc(Br)nc2ccccc12,CCC(C)(C)Nc1cc(C)c2ccccc2n1,N-nucleophilic_aromatic_substitution,,
C146103,1,,,,CCC(C)(C)N,Oc1ccc2nc(Br)ccc2c1,CCC(C)(C)Nc1ccc2cc(O)ccc2n1,N-nucleophilic_aromatic_substitution,,
C146104,1,,,,CCC(C)(C)N,Oc1cccc2ccc(Br)nc12,CCC(C)(C)Nc1ccc2cccc(O)c2n1,N-nucleophilic_aromatic_substitution,,
C146105,1,,,,CC(N)CCF,Oc1ccc2nc(Br)ccc2c1,CC(CCF)Nc1ccc2cc(O)ccc2n1,N-nucleophilic_aromatic_substitution,,
C146106,1,,,,NC1CCCC1,Cc1cc2ccccc2nc1Br,Cc1cc2ccccc2nc1NC1CCCC1,N-nucleophilic_aromatic_substitution,,
C146108,1,,,,NC1CCCC1,Oc1ccc2nc(Br)ccc2c1,Oc1ccc2nc(NC3CCCC3)ccc2c1,N-nucleophilic_aromatic_substitution,,
C146109,1,,,,NC1(CF)CC1,Cc1cc2ccccc2nc1Br,Cc1cc2ccccc2nc1NC1(CF)CC1,N-nucleophilic_aromatic_substitution,,
C146110,1,,,,NC1(CF)CC1,Cc1cc(Br)nc2ccccc12,Cc1cc(NC2(CF)CC2)nc2ccccc12,N-nucleophilic_aromatic_substitution,,
C146111,1,,,,NC1(CF)CC1,Oc1ccc2nc(Br)ccc2c1,Oc1ccc2nc(NC3(CF)CC3)ccc2c1,N-nucleophilic_aromatic_substitution,,
C146112,1,,,,NC1(CF)CC1,Oc1cccc2ccc(Br)nc12,Oc1cccc2ccc(NC3(CF)CC3)nc12,N-nucleophilic_aromatic_substitution,,
C146113,1,,,,CC(N)CCF,Cc1cc2ccccc2nc1Br,Cc1cc2ccccc2nc1NC(C)CCF,N-nucleophilic_aromatic_substitution,,
C146114,1,,,,CC(N)CCF,Cc1cc(Br)nc2ccccc12,Cc1cc(NC(C)CCF)nc2ccccc12,N-nucleophilic_aromatic_substitution,,
