smiles,hit1,hit2,hit3,hit4,hit5
CCOC(=O)c1nc(NC(=O)c2ccn3c(C)cnc3c2)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3c(C)cnc3c2)sc1Br,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3c(Br)cnc3c2)sc1Cl,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3c(Br)cnc3c2)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2F)sc1I,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2F)sc1Cl,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3c(Br)cnc3c2)sc1I,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3c(Br)cnc3c2)sc1Br,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2F)sc1Br,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(C)C(=O)c2cc3nccn3cc2F)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2F)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc(Br)n3ccnc3c2)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc(Br)n3ccnc3c2)sc1Br,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(C)C(=O)c2cc(Br)n3ccnc3c2)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2Br)sc1Cl,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(C)C(=O)c2cc3nccn3cc2Br)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc(Br)n3ccnc3c2)sc1I,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2Br)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2Br)sc1Br,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2Br)sc1I,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc(Br)n3ccnc3c2)sc1Cl,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(C)C(=O)c2ccn3cc(C)nc3c2)n1,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(CC)C(=O)c2cc3nccn3cc2F)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc(Br)n3ccnc3c2)sc1CC,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(CC)C(=O)c2cc(Br)n3ccnc3c2)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2F)sc1CC,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2Br)sc1CC,Z0673a,Z1495a,,,
CC(C)(C)OC(=O)c1csc(NC(=O)c2cc3nccn3cc2Br)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3c(Br)cnc3c2)sc1CC,Z0673a,Z1495a,,,
CC(C)(C)OC(=O)c1csc(NC(=O)c2cc3nccn3cc2F)n1,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(CC)C(=O)c2cc3nccn3cc2Br)n1,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(CC)C(=O)c2ccn3c(C)cnc3c2)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3c(C)cnc3c2)sc1CC,Z0673a,Z1495a,,,
Cc1cnc2cc(C(=O)Nc3nc(C(=O)OC(C)(C)C)cs3)ccn12,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Cl)n3cc2F)sc1Cl,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Cl)n3cc2F)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Br)n3cc2F)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Cl)n3cc2F)sc1Br,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Cl)n3cc2F)sc1I,Z0673a,Z1495a,,,
CC(C)(C)OC(=O)c1csc(NC(=O)c2cc(Br)n3ccnc3c2)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C)nc3c2)sc1CC,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Br)n3cc2F)sc1Cl,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Br)n3cc2F)sc1I,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(CC)C(=O)c2ccn3cc(C)nc3c2)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Br)n3cc2F)sc1Br,Z0673a,Z1495a,,,
