smiles,template,compound_set,hit1
N#Cc1ccc(C(=O)Nc2ccc3c(c2)CNC3)cc1Cl,Z3473a,openbind_xx01zvns2b_c2_elaborated_hits,Z3473a
O=C(Nc1ccc2c(c1)CNC2)c1cccc2[nH]cnc12,Z3476a,openbind_xx01zvns2b_c2_elaborated_hits,Z3476a
CC1(C)C(=O)Nc2ccc(C(=O)Nc3ccc4c(c3)CNC4)cc21,Z3477a,openbind_xx01zvns2b_c2_elaborated_hits,Z3477a
CC(=O)Nc1cccc(C(=O)Nc2ccc3c(c2)CNC3)n1,Z3480a,openbind_xx01zvns2b_c2_elaborated_hits,Z3480a
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]c(=O)[nH]c12,Z3485a,openbind_xx01zvns2b_c2_elaborated_hits,Z3485a
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)ccc1-n1cncn1,Z3495a,openbind_xx01zvns2b_c2_elaborated_hits,Z3495a
O=C(Nc1ccc2c(c1)CNC2)c1cccc2nc(C(F)(F)F)[nH]c12,Z3501a,openbind_xx01zvns2b_c2_elaborated_hits,Z3501a
Cc1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(Cl)cc2[nH]1,Z3502a,openbind_xx01zvns2b_c2_elaborated_hits,Z3502a
O=C(Nc1ccc2c(c1)CNC2)c1cccc2[nH]c(=O)[nH]c12,Z3503a,openbind_xx01zvns2b_c2_elaborated_hits,Z3503a
N#C[C@H](Nc1ccc2c(c1)CNC2)c1cncc2ccccc12,Z3507a,openbind_xx01zvns2b_c2_elaborated_hits,Z3507a
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)nc2[nH]ccc12,Z3519a,openbind_xx01zvns2b_c2_elaborated_hits,Z3519a
O=C(Nc1ccc2c(c1)CNC2)c1ccc2sncc2c1,Z3522a,openbind_xx01zvns2b_c2_elaborated_hits,Z3522a
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)ccc1-n1ccnc1,Z3546a,openbind_xx01zvns2b_c2_elaborated_hits,Z3546a
Cc1cc(C(=O)Nc2ccc3c(c2)CNC3)c2cnn(C)c2n1,Z3556a,openbind_xx01zvns2b_c2_elaborated_hits,Z3556a
Cn1ncc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(C3CC3)nc21,Z3559a,openbind_xx01zvns2b_c2_elaborated_hits,Z3559a
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccccc3)nc12,Z3622a,openbind_xx01zvns2b_c2_elaborated_hits,Z3622a
O=C(Nc1ccc2c(c1)CNC2)c1ccc2[nH]cc(C3CCNCC3)c2c1,Z3665a,openbind_xx01zvns2b_c2_elaborated_hits,Z3665a
O=C1Cc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,Z3677a,openbind_xx01zvns2b_c2_elaborated_hits,Z3677a
O=C(Nc1ccc2c(c1)CNC2)c1ccc2[nH]ccc2c1,Z3729a,openbind_xx01zvns2b_c2_elaborated_hits,Z3729a
O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,Z3733a,openbind_xx01zvns2b_c2_elaborated_hits,Z3733a
NCc1cccc(NC(=O)c2cccc3c2CC(=O)N3)c1,Z3746a,openbind_xx01zvns2b_c2_elaborated_hits,Z3746a
NCCc1cccc(NC(=O)c2cccc3c2CC(=O)N3)c1,Z3758a,openbind_xx01zvns2b_c2_elaborated_hits,Z3758a
O=C(Nc1ccc2c(c1)CNC2)c1cccc2c3c([nH]c12)CCC3,Z3792a,openbind_xx01zvns2b_c2_elaborated_hits,Z3792a
O=C1Cc2c(cccc2C(=O)N[C@@H]2CCN(c3ccccn3)C2)N1,Z3799a,openbind_xx01zvns2b_c2_elaborated_hits,Z3799a
Cc1cc(CN)cc(NC(=O)c2cccc3c2CC(=O)N3)c1,Z3813a,openbind_xx01zvns2b_c2_elaborated_hits,Z3813a
Cc1[nH]c2c(C(=O)Nc3ccc4c(c3)CNC4)cccc2c1C,Z3817a,openbind_xx01zvns2b_c2_elaborated_hits,Z3817a
O=C1Cc2c(cccc2C(=O)Nc2ccc3c(n2)CNC3)N1,Z3831a,openbind_xx01zvns2b_c2_elaborated_hits,Z3831a
O=C(Nc1ccc2c(c1)CNC2)c1cccc2c3c([nH]c12)CCC3,Z3834a,openbind_xx01zvns2b_c2_elaborated_hits,Z3834a
O=C1Cc2c(cccc2C(=O)Nc2ccc3c(c2)CNCC3)N1,Z3837a,openbind_xx01zvns2b_c2_elaborated_hits,Z3837a
N#Cc1c[nH]c2c(C(=O)Nc3ccc4c(c3)CNC4)cccc12,Z3856a,openbind_xx01zvns2b_c2_elaborated_hits,Z3856a
O=C1Cc2c(cccc2C(=O)Nc2ccc3c(c2)CNCCO3)N1,Z3858a,openbind_xx01zvns2b_c2_elaborated_hits,Z3858a
O=C1Cc2c(cccc2C(=O)Nc2ccc3c(c2)CNC3=O)N1,Z3936a,openbind_xx01zvns2b_c2_elaborated_hits,Z3936a
O=C1Cc2cc(C(=O)Nc3cnc4c(c3)CNC4)ccc2N1,Z3970a,openbind_xx01zvns2b_c2_elaborated_hits,Z3970a
N#Cc1csc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc12,Z4017a,openbind_xx01zvns2b_c2_elaborated_hits,Z4017a
O=C(Nc1ccc2c(c1)CNC2)c1ccc2c(c1)C1(CC1)C(=O)N2,Z4020a,openbind_xx01zvns2b_c2_elaborated_hits,Z4020a
O=C1Cc2c(cccc2C(=O)Nc2cnn(Cc3ccncc3)c2)N1,Z4025a,openbind_xx01zvns2b_c2_elaborated_hits,Z4025a
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2c1cnn2C1CNC1,Z4103a,openbind_xx01zvns2b_c2_elaborated_hits,Z4103a
CN1CCC(c2c[nH]c3ccc(C(=O)Nc4ccc5c(c4)CNC5)cc23)CC1,Z4117a,openbind_xx01zvns2b_c2_elaborated_hits,Z4117a
O=C1CCc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,Z4125a,openbind_xx01zvns2b_c2_elaborated_hits,Z4125a
CCN1CCC(c2c[nH]c3ccc(C(=O)Nc4ccc5c(c4)CNC5)cc23)CC1,Z4161a,openbind_xx01zvns2b_c2_elaborated_hits,Z4161a
CN1CCC(c2n[nH]c3ccc(C(=O)Nc4ccc5c(c4)CNC5)cc23)CC1,Z4178a,openbind_xx01zvns2b_c2_elaborated_hits,Z4178a
O=C(Nc1ccccc1)c1cc(Cl)cc2c1cnn2C1CNC1,Z4198a,openbind_xx01zvns2b_c2_elaborated_hits,Z4198a
O=C(Nc1ccc2c(c1)CNC2)c1ccc2[nH]c(=O)[nH]c2c1,Z4245a,openbind_xx01zvns2b_c2_elaborated_hits,Z4245a
CN1Cc2ccc(NC(=O)c3ccc4c(c3)CC(=O)N4)cc2C1,Z4756a,openbind_xx01zvns2b_c2_elaborated_hits,Z4756a
O=C(Nc1ccc(N2CCCC2=O)c(F)c1)c1cc(Cl)cc2c1cnn2C1CNC1,Z4811a,openbind_xx01zvns2b_c2_elaborated_hits,Z4811a
O=C(Nc1ccc(F)cc1N1CCCC1=O)c1cc(Cl)cc2c1cnn2C1CNC1,Z4827a,openbind_xx01zvns2b_c2_elaborated_hits,Z4827a
