target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-3-1,reactant-4-1
C103,1,,,,NCc1cccc(N)c1,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,NCc1cccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1,Amidation,,,,,,,,,,
C104,1,,,,NCCc1cccc(N)c1,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,NCCc1cccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1,Amidation,,,,,,,,,,
C105,1,,,,NCCc1ccc(N)cc1,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,NCCc1ccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)cc1,Amidation,,,,,,,,,,
C106,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,CC(N)c1ccc(N)cc1,CC(N)c1ccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)cc1,Amidation,,,,,,,,,,
C107,1,,,,Nc1ccc2c(c1)CNC2,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,O=C(Nc1cc(Cl)cc(C(=O)Nc2ccc3c(c2)CNC3)c1)OCc1ccccc1,Amidation,,,,,,,,,,
C108,1,,,,NCc1cccc(NC(=O)c2cc(Cl)cc(Cl)c2)c1,CC1(C)OB(CN)OC1(C)C,NCc1cccc(NC(=O)c2cc(Cl)cc(CN)c2)c1,Sp3-sp2_Suzuki_coupling,,,,,,,,,,
C109,1,,,,NCc1cccc(N)c1,O=C(O)c1cccn2cc(CN3CCCC3)nc12,NCc1cccc(NC(=O)c2cccn3cc(CN4CCCC4)nc23)c1,Amidation,,,,,,,,,,
C110,1,,,,NCc1cccc(N)c1,CC(C)c1nc2c(C(=O)O)cccc2[nH]1,CC(C)c1nc2c(C(=O)Nc3cccc(CN)c3)cccc2[nH]1,Amidation,,,,,,,,,,
C111,1,,,,Nc1cccc(-c2nn[nH]n2)c1,NCc1cc(Cl)cc(C(=O)O)c1,NCc1cc(Cl)cc(C(=O)Nc2cccc(-c3nn[nH]n3)c2)c1,Amidation,,,,,,,,,,
C114,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1cc(Br)cc2[nH]ccc12,O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]ccc12,Amidation,,,,,,,,,,
