,smiles,inchi_key,error_type,error_message,retro_tool,db_search_tool,1_r1_smiles,1_r2_smiles,1_reaction,compound_set,elab_single_reactant,hit1,hit2,num_placed,num_successful,route_uuid,template,to_hippo,total_num_products_enumstereo,total_num_unique_products,hit3,hit4,hit5,hit6
0,C#C[C@H](NC(=O)[C@@H]1CCc2nnc(C)n2C1)C1CCC1,XZXXEYWXKJBZSC-UHFFFAOYSA-N,,,aizynthfinder,hippo,Cc1nnc2n1CC(C(=O)O)CC2,C#CC(N)C1CCC1,Amidation,C1002,0.0,A3890a,A0239a,224.0,0.0,7946426391ce9818d3a73128658b9e05,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3890a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C1002/XZXXEYWXKJBZSC-UHFFFAOYSA-N/XZXXEYWXKJBZSC-UHFFFAOYSA-N_7946426391ce9818d3a73128658b9e05_to_hippo.pkl.gz,224.0,48.0,,,,
0,c1cc(-c2ccc(CNCc3ccc4cn[nH]c4c3)cc2)[nH]n1,MZJWMOJDYRPWCV-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=Cc1ccc2cn[nH]c2c1,NCc1ccc(-c2ccn[nH]2)cc1,Reductive_amination,C102808,0.0,A0717a,A0486a,1272.0,355.0,1c8236e61add637529f5ff6707074846,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A0486a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C102808/MZJWMOJDYRPWCV-UHFFFAOYSA-N/MZJWMOJDYRPWCV-UHFFFAOYSA-N_1c8236e61add637529f5ff6707074846_to_hippo.pkl.gz,1272.0,594.0,,,,
0,CON(C)CCc1ccccn1,BTBDFXKRKUXPIR-UHFFFAOYSA-N,SMARTSError,Reaction name Amine_alkylation not found in SMARTS handler.,,,,,,C11209,,A2629a,A3975a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A2629a_apo-desolv.pdb,,,,A4526a,,,
0,CC(=O)N1CCN(C(=O)NCCc2cccs2)CC12CCCCC2,FDTBFBNGCRTYIH-UHFFFAOYSA-N,SMARTSError,Reaction name Isocyanate_to_urea not found in SMARTS handler.,,,,,,C10683,,A3568a,A1779a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A1779a_apo-desolv.pdb,,,,,,,
0,CC(=O)N1CCN(C(=O)NCCc2cscn2)CC12CCCCC2,OVGXOABIOXLLGL-UHFFFAOYSA-N,,,aizynthfinder,hippo,NCCc1cscn1,CC(=O)N1CCNCC12CCCCC2,Formation_of_urea_from_two_amines,C10686,0.0,A3371a,A1775a,128.0,0.0,b7f857bdbd2991eb2369e27caec076c6,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3371a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C10686/OVGXOABIOXLLGL-UHFFFAOYSA-N/OVGXOABIOXLLGL-UHFFFAOYSA-N_b7f857bdbd2991eb2369e27caec076c6_to_hippo.pkl.gz,128.0,94.0,,,,
0,O=C(COC1CNC1)NCCN1CCCc2ccccc21,PCPXIHBDOBZPNO-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)COC1CNC1,NCCN1CCCc2ccccc21,Amidation,C1120,0.0,A4994a,A0586a,322.0,0.0,63853b6417d3b0251ca6018e099437a7,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A0586a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C1120/PCPXIHBDOBZPNO-UHFFFAOYSA-N/PCPXIHBDOBZPNO-UHFFFAOYSA-N_63853b6417d3b0251ca6018e099437a7_to_hippo.pkl.gz,322.0,131.0,,,,
0,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,ONGQCMNCDUWDOR-UHFFFAOYSA-N,,,aizynthfinder,hippo,NCCc1cocn1,Cn1nc(C(=O)O)c2ccccc21,Amidation,C107,0.0,A2290a,A3436a,163.0,80.0,329a92254f48aadc4542b887809c6b0c,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A2290a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C107/ONGQCMNCDUWDOR-UHFFFAOYSA-N/ONGQCMNCDUWDOR-UHFFFAOYSA-N_329a92254f48aadc4542b887809c6b0c_to_hippo.pkl.gz,163.0,119.0,,,,
0,O=C(N[C@@H](CO)c1nc[nH]n1)c1cnc(C2CCNCC2)nc1,RZWXIWQSDZYYOP-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)c1cnc(C2CCNCC2)nc1,NC(CO)c1nc[nH]n1,Amidation,C107313,0.0,A1146a,A0875a,44.0,0.0,e8e90414c76eb4be4fbfb42c549f87fc,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A0875a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C107313/RZWXIWQSDZYYOP-UHFFFAOYSA-N/RZWXIWQSDZYYOP-UHFFFAOYSA-N_e8e90414c76eb4be4fbfb42c549f87fc_to_hippo.pkl.gz,44.0,22.0,,,,
0,CCCS(=O)(=O)Nc1ccsn1,YFCVSAJHUPTKJW-UHFFFAOYSA-N,SMARTSError,Reaction name Formation_of_sulfonamide_from_halide_-_Shavnya_reaction not found in SMARTS handler.,,,,,,C12320,,A0719a,A3436a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3436a_apo-desolv.pdb,,,,,,,
0,C[C@H](c1ccncc1)N(C)S(=O)(=O)c1cccc2c1CCN2,DUYGGZWMEYALFM-UHFFFAOYSA-N,SMARTSError,Reaction name Formation_of_sulfonamide_from_halide_-_Shavnya_reaction not found in SMARTS handler.,,,,,,C12436,,A0586a,A4274a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4274a_apo-desolv.pdb,,,,,,,
0,CC(C)Cc1nsc(N[C@@H](C)CCN2CCCC2)n1,ILSBGNWDUMTPAG-UHFFFAOYSA-N,,,aizynthfinder,hippo,CC(N)CCN1CCCC1,CC(C)Cc1nsc(Cl)n1,N-nucleophilic_aromatic_substitution,C119126,0.0,A1140a,A4311a,88.0,7.0,c2b2bc597725ee7fa18aacbcc7aa53af,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4311a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C119126/ILSBGNWDUMTPAG-UHFFFAOYSA-N/ILSBGNWDUMTPAG-UHFFFAOYSA-N_c2b2bc597725ee7fa18aacbcc7aa53af_to_hippo.pkl.gz,88.0,33.0,,,,
0,COCc1ccnc(NC(=O)c2ccc3c(c2)NS(=O)(=O)C3)c1,JCQQJJVJANIEDC-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)c1ccc2c(c1)NS(=O)(=O)C2,COCc1ccnc(N)c1,Amidation,C11987,0.0,A2513a,A4274a,28.0,0.0,d2748a841a5284362348101f19734f76,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4274a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C11987/JCQQJJVJANIEDC-UHFFFAOYSA-N/JCQQJJVJANIEDC-UHFFFAOYSA-N_d2748a841a5284362348101f19734f76_to_hippo.pkl.gz,28.0,28.0,,,,
0,c1cc2c(c(N3CCCCCCC3)c1)NCCC2,CGHAWODWSBOPHV-UHFFFAOYSA-N,,,aizynthfinder,hippo,C1CCCNCCC1,Ic1cccc2c1NCCC2,Buchwald-Hartwig_amination,C1169,0.0,A0586a,A3509b,2020.0,2.0,5dd5fb4a183bcda1a78f6e28eef51f7c,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3509b_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C1169/CGHAWODWSBOPHV-UHFFFAOYSA-N/CGHAWODWSBOPHV-UHFFFAOYSA-N_5dd5fb4a183bcda1a78f6e28eef51f7c_to_hippo.pkl.gz,2020.0,317.0,,,,
0,COC(=O)[C@H](NC(=O)[C@@H]1CNC(=O)N1C)c1cccnc1,IFWHXWDSJNOWHX-UHFFFAOYSA-N,,,aizynthfinder,hippo,CN1C(=O)NCC1C(=O)O,COC(=O)C(N)c1cccnc1,Amidation,C12140,0.0,A1081b,A0428a,48.0,0.0,42fdd0a887da210d7b76bf882e703284,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A0428a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C12140/IFWHXWDSJNOWHX-UHFFFAOYSA-N/IFWHXWDSJNOWHX-UHFFFAOYSA-N_42fdd0a887da210d7b76bf882e703284_to_hippo.pkl.gz,48.0,12.0,,,,
0,C[C@H](Cc1ccccn1)NC(=O)c1ccc2c(c1)NS(=O)(=O)C2,XPWBZSZXWGFDON-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)c1ccc2c(c1)NS(=O)(=O)C2,CC(N)Cc1ccccn1,Amidation,C12016,0.0,A3229a,A2513a,139.0,0.0,a29f4236102014d44761e9c294c6dcbe,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3229a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C12016/XPWBZSZXWGFDON-UHFFFAOYSA-N/XPWBZSZXWGFDON-UHFFFAOYSA-N_a29f4236102014d44761e9c294c6dcbe_to_hippo.pkl.gz,139.0,65.0,,,,
0,O=C(CNc1cccc2c1CCN2C(=O)C(F)(F)F)N1CCC1,BUFNXCVHZNVGON-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(CO)N1CCC1,Nc1cccc2c1CCN2C(=O)C(F)(F)F,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,C119723,0.0,A4994a,A1778a,2.0,0.0,028dbf42deecaaa8033ef8fb14b94ace,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4994a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C119723/BUFNXCVHZNVGON-UHFFFAOYSA-N/BUFNXCVHZNVGON-UHFFFAOYSA-N_028dbf42deecaaa8033ef8fb14b94ace_to_hippo.pkl.gz,2.0,2.0,,,,
0,O[C@@H](CCNc1ccnc(-c2ccccn2)n1)c1ccccc1,OMEWLDYIFBMQQV-UHFFFAOYSA-N,SMARTSError,Reaction name Amine_alkylation not found in SMARTS handler.,,,,,,C12946,,A1068a,A0428a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A1068a_apo-desolv.pdb,,,,,,,
0,C[C@H](C(=O)NC[C@@H]1CCCN1CCCO)N1CCCCC1=O,PNWBUTYUCZZJJG-UHFFFAOYSA-N,,,aizynthfinder,hippo,NCC1CCCN1CCCO,CC(C(=O)O)N1CCCCC1=O,Amidation,C114736,0.0,A1140a,A5036a,64.0,0.0,5fb7df2dbb2aee00616d81e2e2dc534d,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A5036a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C114736/PNWBUTYUCZZJJG-UHFFFAOYSA-N/PNWBUTYUCZZJJG-UHFFFAOYSA-N_5fb7df2dbb2aee00616d81e2e2dc534d_to_hippo.pkl.gz,64.0,6.0,,,,
0,O=C1NCCN1CCN1Cc2ccccc2[C@@H](n2cccn2)C1,AEAKCWJGPKNEGI-UHFFFAOYSA-N,SMARTSError,Reaction name Amine_alkylation not found in SMARTS handler.,,,,,,C128372,,A2293a,A0556a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A2293a_apo-desolv.pdb,,,,,,,
0,COc1ccc2c(c1)CCCN2C(=O)CSCC1CCNCC1,BGMXVHWUBCMRIH-UHFFFAOYSA-N,,,aizynthfinder,hippo,COc1ccc2c(c1)CCCN2C(=O)CCl,SCC1CCNCC1,Nucleophilic_substitution_with_thiol,C1132,0.0,A0586a,A3868a,1.0,0.0,1ea39b98a331f1d59121065fc1ef16f2,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3868a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C1132/BGMXVHWUBCMRIH-UHFFFAOYSA-N/BGMXVHWUBCMRIH-UHFFFAOYSA-N_1ea39b98a331f1d59121065fc1ef16f2_to_hippo.pkl.gz,1.0,1.0,,,,
0,C[C@@H](OC(=O)c1ccc2c(c1)NS(=O)(=O)C2)c1cccnc1,RTQXTGWAIMKSIN-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)c1ccc2c(c1)NS(=O)(=O)C2,CC(O)c1cccnc1,Steglich_esterification,C12012,0.0,A2513a,A4274b,259.0,8.0,bcc45c1184324ac23b241bc69375eac6,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4274b_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C12012/RTQXTGWAIMKSIN-UHFFFAOYSA-N/RTQXTGWAIMKSIN-UHFFFAOYSA-N_bcc45c1184324ac23b241bc69375eac6_to_hippo.pkl.gz,259.0,140.0,,,,
0,O=C(NCC1(c2ccccn2)CC1)c1cnnc2ccccc12,WZIGSCUCYLFSGJ-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)c1cnnc2ccccc12,NCC1(c2ccccn2)CC1,Amidation,C11248,0.0,A1105b,A1293a,12.0,0.0,87dd0f010ed51e163a0a1e09e5038851,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A1105b_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C11248/WZIGSCUCYLFSGJ-UHFFFAOYSA-N/WZIGSCUCYLFSGJ-UHFFFAOYSA-N_87dd0f010ed51e163a0a1e09e5038851_to_hippo.pkl.gz,12.0,9.0,,,,
0,CC(C)CCOCC1CCN(C(=O)CCc2ccn[nH]2)CC1,LCCXSDXPWBGFAI-UHFFFAOYSA-N,NoReactants,All reactants were filtered for r2. No products will be found.,aizynthfinder,hippo,O=C(O)CCc1ccn[nH]1,CC(C)CCOCC1CCNCC1,Amidation,C11605,0.0,A4586a,A0556a,,,181f4006bf00f22e84fb675c3cec9330,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4586a_apo-desolv.pdb,,,,,,,
0,NC(=O)c1ccc(NC(=O)c2ccc3c(c2)NS(=O)(=O)C3)nc1,LTXRWJYJSXHLHR-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)c1ccc2c(c1)NS(=O)(=O)C2,NC(=O)c1ccc(N)nc1,Amidation,C11989,0.0,A2513a,A4274b,29.0,0.0,fbd26b29de2059d11221ae18114bf807,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A2513a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C11989/LTXRWJYJSXHLHR-UHFFFAOYSA-N/LTXRWJYJSXHLHR-UHFFFAOYSA-N_fbd26b29de2059d11221ae18114bf807_to_hippo.pkl.gz,29.0,25.0,,,,
0,c1ccc(-c2nnc(N[C@@H]3CCc4ccccc4C3)s2)nc1,GOIIBLCLDRWXDI-UHFFFAOYSA-N,,,aizynthfinder,hippo,Clc1nnc(-c2ccccn2)s1,NC1CCc2ccccc2C1,N-nucleophilic_aromatic_substitution,C12411,0.0,A3564a,A1778a,238.0,0.0,1640b59d13cccaeb98dee8a4aece4ead,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3564a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C12411/GOIIBLCLDRWXDI-UHFFFAOYSA-N/GOIIBLCLDRWXDI-UHFFFAOYSA-N_1640b59d13cccaeb98dee8a4aece4ead_to_hippo.pkl.gz,238.0,78.0,,,,
0,<rdkit.Chem.rdchem.Mol object at 0x7fdd0f5eff40>,LOUAUNMHZDTLHZ-UHFFFAOYSA-N,ReactionError,No atoms found involved in reaction Amidation in mol NOC1CCCCC1 and Cc1cc(CCC(=O)O)no1,aizynthfinder,hippo,NOC1CCCCC1,Cc1cc(CCC(=O)O)no1,Amidation,,0.0,,,,,2fad5659a00bac7dedbde88d869ba4ae,,,,,,,,
0,c1cc(-c2cnn([C@@H]3CCCCO3)c2)c2cn[nH]c2c1,VIWGUSXHUZQJLO-UHFFFAOYSA-N,SMARTSError,Reaction name Sp2-sp2_Suzuki_coupling not found in SMARTS handler.,,,,,,C131861,,A3181b,A0473a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3181b_apo-desolv.pdb,,,,,,,
