,smiles,inchi_key,error_type,error_message,retro_tool,db_search_tool,1_r1_smiles,1_r2_smiles,1_reaction,compound_set,elab_single_reactant,hit1,hit2,num_placed,num_successful,route_uuid,template,to_hippo,total_num_products_enumstereo,total_num_unique_products,hit3,hit4,hit5,hit6
0,O=C(NCCc1ccc2cn[nH]c2c1)c1cn2c(n1)CCC2,YDXIBDJDTVMVDS-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)c1cn2c(n1)CCC2,NCCc1ccc2cn[nH]c2c1,Amidation,C17988,0.0,A0309a,A3181b,4.0,0.0,b0a201b10f19bb5f79311533716c5d71,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3181b_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C17988/YDXIBDJDTVMVDS-UHFFFAOYSA-N/YDXIBDJDTVMVDS-UHFFFAOYSA-N_b0a201b10f19bb5f79311533716c5d71_to_hippo.pkl.gz,4.0,3.0,,,,
0,CC(=O)N1c2ccccc2C[C@H]1C(=O)N[C@@H]1CCCNC1,PJDNNFWSTSASFT-UHFFFAOYSA-N,ProductFormationError,All products filtered for step 1.,aizynthfinder,hippo,NC1CCCNC1,CC(=O)N1c2ccccc2CC1C(=O)O,Amidation,C17883,0.0,A4306a,A1778a,,,db417d674d1517a5e4688e764f856f07,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4306a_apo-desolv.pdb,,,,,,,
0,<rdkit.Chem.rdchem.Mol object at 0x7fc88364ff40>,AOLCLQJMUNNQFC-UHFFFAOYSA-N,ReactionError,No atoms found involved in reaction Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol in mol OC1CCCc2ccccc21 and O=C(CO)N1CCCC1,aizynthfinder,hippo,OC1CCCc2ccccc21,O=C(CO)N1CCCC1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,0.0,,,,,78f19c67c9cca78e1664974607f5e5b2,,,,,,,,
0,c1nc2c(n1[C@@H]1CCCNC1)CCCC2,NVQPTGDZIZQWGQ-UHFFFAOYSA-N,SMARTSError,Reaction name Amine_alkylation not found in SMARTS handler.,,,,,,C2040,,A3371a,A4877a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4877a_apo-desolv.pdb,,,,,,,
0,C[C@H](N)C(=O)CN1CCC(c2c[nH]cn2)CC1,WUBOLPOQHKSMNV-UHFFFAOYSA-N,SMARTSError,Reaction name Amine_alkylation not found in SMARTS handler.,,,,,,C2123,,A3371a,A3417a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3417a_apo-desolv.pdb,,,,,,,
0,CC(C)C[C@H](NC(=O)[C@H]1CNC(=O)C1)C(F)(F)F,CPOAYBILPJRGSY-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C1CC(C(=O)O)CN1,CC(C)CC(N)C(F)(F)F,Amidation,C20970,0.0,A3956a,A1778a,10000.0,21.0,d8a2b3583b7ec036b38835bcc61d0078,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3956a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C20970/CPOAYBILPJRGSY-UHFFFAOYSA-N/CPOAYBILPJRGSY-UHFFFAOYSA-N_d8a2b3583b7ec036b38835bcc61d0078_to_hippo.pkl.gz,35956.0,4131.0,,,,
0,O=C(CO[C@@H]1CCCc2ccccc21)N1CC[C@@H](C(F)(F)F)C1,GYZAOFILUIIAKQ-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)COC1CCCc2ccccc21,FC(F)(F)C1CCNC1,Amidation,C20145,0.0,A4418a,A1778a,770.0,0.0,6b9b360815e4615ce814d5a72bf948be,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4418a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C20145/GYZAOFILUIIAKQ-UHFFFAOYSA-N/GYZAOFILUIIAKQ-UHFFFAOYSA-N_6b9b360815e4615ce814d5a72bf948be_to_hippo.pkl.gz,770.0,113.0,,,,
0,CC(C)S(=O)(=O)[C@@H]1CCN(C(=O)CC2=Cc3ccccc3C2)C1,KKLAVPWGXVYYKK-UHFFFAOYSA-N,,,aizynthfinder,hippo,CC(C)S(=O)(=O)C1CCNC1,O=C(O)CC1=Cc2ccccc2C1,Amidation,C20140,0.0,A1778a,A4855a,2.0,0.0,03c34243c2e28b51cd7944e860cd3ac8,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4855a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C20140/KKLAVPWGXVYYKK-UHFFFAOYSA-N/KKLAVPWGXVYYKK-UHFFFAOYSA-N_03c34243c2e28b51cd7944e860cd3ac8_to_hippo.pkl.gz,2.0,1.0,,,,
0,O=C(C1CCC(=C(F)F)CC1)N1CCC[C@@H]1c1cn[nH]c1,UPVSFXPIZJMBGP-UHFFFAOYSA-N,,,aizynthfinder,hippo,c1n[nH]cc1C1CCCN1,O=C(O)C1CCC(=C(F)F)CC1,Amidation,C21091,0.0,A0556a,A4855a,74.0,1.0,064718ad3bcdd53b8fd0a46a7d572bc6,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4855a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C21091/UPVSFXPIZJMBGP-UHFFFAOYSA-N/UPVSFXPIZJMBGP-UHFFFAOYSA-N_064718ad3bcdd53b8fd0a46a7d572bc6_to_hippo.pkl.gz,74.0,24.0,,,,
0,C[C@H](OC(=O)c1cc(C2CC2)[nH]c(=O)c1)c1cnccn1,HJXNHEVQRCOAHH-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)c1cc(C2CC2)[nH]c(=O)c1,CC(O)c1cnccn1,Steglich_esterification,C20308,0.0,A1068a,A0525a,52.0,0.0,12b49fc3fef3148c4f84d2ebc36b1f9b,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A1068a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C20308/HJXNHEVQRCOAHH-UHFFFAOYSA-N/HJXNHEVQRCOAHH-UHFFFAOYSA-N_12b49fc3fef3148c4f84d2ebc36b1f9b_to_hippo.pkl.gz,52.0,19.0,,,,
0,Cn1nc(C(=O)NCc2cocn2)c2ccccc21,GJSLUQQORYADDA-UHFFFAOYSA-N,,,aizynthfinder,hippo,NCc1cocn1,Cn1nc(C(=O)O)c2ccccc21,Amidation,C204781,0.0,A3403a,A2290a,588.0,187.0,c3c6750c92961bcd3f9d9e264a46c6c4,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A2290a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C204781/GJSLUQQORYADDA-UHFFFAOYSA-N/GJSLUQQORYADDA-UHFFFAOYSA-N_c3c6750c92961bcd3f9d9e264a46c6c4_to_hippo.pkl.gz,588.0,436.0,,,,
0,Cn1nc(C(=O)NC[C@@H]2Cc3ccccc3CN2)c2cc(F)ccc21,IUKJWGRXOODHIO-UHFFFAOYSA-N,,,aizynthfinder,hippo,NCC1Cc2ccccc2CN1,Cn1nc(C(=O)O)c2cc(F)ccc21,Amidation,C205067,0.0,A2293a,A0884a,66.0,0.0,57f2cec870da04c9f7879fb50dcd80b1,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A2293a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C205067/IUKJWGRXOODHIO-UHFFFAOYSA-N/IUKJWGRXOODHIO-UHFFFAOYSA-N_57f2cec870da04c9f7879fb50dcd80b1_to_hippo.pkl.gz,66.0,28.0,,,,
0,CC#CCCNC(=O)[C@H]1CCC(=O)N1,DRKPVRIBDAVVDE-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C1CCC(C(=O)O)N1,CC#CCCN,Amidation,C20940,0.0,A3956a,A1778a,4558.0,7.0,adab6e5293c350991797c79b09f74b63,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3956a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C20940/DRKPVRIBDAVVDE-UHFFFAOYSA-N/DRKPVRIBDAVVDE-UHFFFAOYSA-N_adab6e5293c350991797c79b09f74b63_to_hippo.pkl.gz,4558.0,953.0,,,,
0,CC(=O)N[C@H](C)C1CCN(S(=O)(=O)c2cnc3n2CCC3)CC1,ZGUIGBFPAXLLGR-UHFFFAOYSA-N,ValueError,ChemicalParserException: initMatchers() must be called before runReactants(),aizynthfinder,hippo,CC(=O)NC(C)C1CCNCC1,O=S(=O)(Cl)c1cnc2n1CCC2,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),C2063,0.0,A3371a,A3975a,,,cd4a8976c96b897de3b613c4f12772d7,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3975a_apo-desolv.pdb,,,,,,,
0,Cn1nc(C(=O)NCCn2cncn2)c2cc(F)ccc21,GRQIJMFMPOTAPA-UHFFFAOYSA-N,,,aizynthfinder,hippo,Cn1nc(C(=O)O)c2cc(F)ccc21,NCCn1cncn1,Amidation,C205775,0.0,A3176a,A3417a,116.0,34.0,e535cf9f95945200d7c67898e4f8c735,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3176a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C205775/GRQIJMFMPOTAPA-UHFFFAOYSA-N/GRQIJMFMPOTAPA-UHFFFAOYSA-N_e535cf9f95945200d7c67898e4f8c735_to_hippo.pkl.gz,116.0,77.0,,,,
0,O=C(NCc1nnc2ccc(Cl)cn12)c1nsc2ccccc12,UGSIBURWRIDDTK-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)c1nsc2ccccc12,NCc1nnc2ccc(Cl)cn12,Amidation,C21294,0.0,A0486a,A1293a,4.0,0.0,c5c696b5fbcb828591a1735fde9a5b6e,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A0486a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C21294/UGSIBURWRIDDTK-UHFFFAOYSA-N/UGSIBURWRIDDTK-UHFFFAOYSA-N_c5c696b5fbcb828591a1735fde9a5b6e_to_hippo.pkl.gz,4.0,4.0,,,,
0,c1ccc(-c2nnc(NCc3ccc4cccnc4c3)s2)nc1,XPVXHOUETPQGLE-UHFFFAOYSA-N,,,aizynthfinder,hippo,Nc1nnc(-c2ccccn2)s1,O=Cc1ccc2cccnc2c1,Reductive_amination,C20719,0.0,A0514b,A3194a,332.0,0.0,cc8d71a19c351f694ced729ecc8bf159,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3194a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C20719/XPVXHOUETPQGLE-UHFFFAOYSA-N/XPVXHOUETPQGLE-UHFFFAOYSA-N_cc8d71a19c351f694ced729ecc8bf159_to_hippo.pkl.gz,332.0,173.0,,,,
0,CCOC(=O)N[C@@H]1CCCN(C(=O)CCc2c[nH]cn2)C1,IIGXHTIDEPJZDV-UHFFFAOYSA-N,,,aizynthfinder,hippo,CCOC(=O)NC1CCCNC1,O=C(O)CCc1c[nH]cn1,Amidation,C2124,0.0,A1180a,A3054a,10000.0,0.0,33f687205fc8890eadd9759df44d184c,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3054a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C2124/IIGXHTIDEPJZDV-UHFFFAOYSA-N/IIGXHTIDEPJZDV-UHFFFAOYSA-N_33f687205fc8890eadd9759df44d184c_to_hippo.pkl.gz,34305.0,4957.0,,,,
0,CCOC(=O)N[C@H]1CCCN(C(=O)c2cn3c(n2)CCC3)C1,PLNOJQJYNMYLML-UHFFFAOYSA-N,,,aizynthfinder,hippo,CCOC(=O)NC1CCCNC1,O=C(O)c1cn2c(n1)CCC2,Amidation,C2081,0.0,A3371a,A4445a,331.0,0.0,ca0335f0a65dfd6443dc96454f8c83ce,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4445a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C2081/PLNOJQJYNMYLML-UHFFFAOYSA-N/PLNOJQJYNMYLML-UHFFFAOYSA-N_ca0335f0a65dfd6443dc96454f8c83ce_to_hippo.pkl.gz,331.0,90.0,,,,
0,C[C@H]1CC[C@@H](C(N)=O)CN1C(=O)Cc1cccc2nn(C)cc12,XIBNVKKKKOBXOR-UHFFFAOYSA-N,,,aizynthfinder,hippo,CC1CCC(C(N)=O)CN1,Cn1cc2c(CC(=O)O)cccc2n1,Amidation,C209837,0.0,A3181a,A4934a,30.0,0.0,fbc97425b49cff57bf26d14a2dd0618c,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3181a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C209837/XIBNVKKKKOBXOR-UHFFFAOYSA-N/XIBNVKKKKOBXOR-UHFFFAOYSA-N_fbc97425b49cff57bf26d14a2dd0618c_to_hippo.pkl.gz,30.0,7.0,A5052a,,,
0,O=C(COC1CCCC1)N1CC[C@H](c2ccn[nH]2)C1,NLTCJEMUNHLQBH-UHFFFAOYSA-N,,,aizynthfinder,hippo,c1cc(C2CCNC2)n[nH]1,O=C(O)COC1CCCC1,Amidation,C21087,0.0,A0717a,A3581a,10000.0,0.0,aedf339b5ebeaaac42f03e28f0ef430f,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3581a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C21087/NLTCJEMUNHLQBH-UHFFFAOYSA-N/NLTCJEMUNHLQBH-UHFFFAOYSA-N_aedf339b5ebeaaac42f03e28f0ef430f_to_hippo.pkl.gz,18194.0,184.0,,,,
0,CC[C@@H](Cl)C(=O)NC[C@H]1CCC(=O)N1,OTUZIMGZAJGPTD-UHFFFAOYSA-N,,,aizynthfinder,hippo,NCC1CCC(=O)N1,CCC(Cl)C(=O)O,Amidation,C20947,0.0,A1776a,A0528a,8028.0,24.0,5b7c89ab9b327cb9cb2e93aa76525c4c,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A1776a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C20947/OTUZIMGZAJGPTD-UHFFFAOYSA-N/OTUZIMGZAJGPTD-UHFFFAOYSA-N_5b7c89ab9b327cb9cb2e93aa76525c4c_to_hippo.pkl.gz,8028.0,949.0,,,,
0,C[C@@H](NC(=O)N1C[C@H]2CC[C@H]2C1)c1cnccn1,OBYODZPHMWOBDT-UHFFFAOYSA-N,,,aizynthfinder,hippo,CC(N)c1cnccn1,C1CC2CNCC12,Formation_of_urea_from_two_amines,C22202,0.0,A3371a,A1146a,9513.0,1.0,c661bd118aa96e3b004121e4f6d121a4,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A1146a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C22202/OBYODZPHMWOBDT-UHFFFAOYSA-N/OBYODZPHMWOBDT-UHFFFAOYSA-N_c661bd118aa96e3b004121e4f6d121a4_to_hippo.pkl.gz,9513.0,846.0,,,,
0,O=C(CCn1ccnc1)N1[C@@H]2CC[C@H]1C[C@H](CCF)C2,AERCOVUKSAMYCJ-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)CCn1ccnc1,FCCC1CC2CCC(C1)N2,Amidation,C21631,0.0,A3371a,A4509a,1152.0,0.0,adc535632594abf2fc77b90eea24b7b0,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4509a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C21631/AERCOVUKSAMYCJ-UHFFFAOYSA-N/AERCOVUKSAMYCJ-UHFFFAOYSA-N_adc535632594abf2fc77b90eea24b7b0_to_hippo.pkl.gz,1152.0,168.0,,,,
0,C[C@@H](CC(F)(F)F)NC(=O)c1cnc2cccnn12,UQGFVTTVRVRYFR-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)c1cnc2cccnn12,CC(N)CC(F)(F)F,Amidation,C23295,0.0,A0202a,A1778a,2664.0,0.0,6219b16c5accf32a965bffc203d2b240,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A0202a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C23295/UQGFVTTVRVRYFR-UHFFFAOYSA-N/UQGFVTTVRVRYFR-UHFFFAOYSA-N_6219b16c5accf32a965bffc203d2b240_to_hippo.pkl.gz,2664.0,735.0,,,,
0,C[C@H](NC(=O)c1cnccn1)C1(S(C)(=O)=O)CC1,ZFTJJBVPUXZCMY-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)c1cnccn1,CC(N)C1(S(C)(=O)=O)CC1,Amidation,C22223,0.0,A2846a,A1146a,372.0,0.0,9361c3c847f122375a6859492e02ab48,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A2846a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C22223/ZFTJJBVPUXZCMY-UHFFFAOYSA-N/ZFTJJBVPUXZCMY-UHFFFAOYSA-N_9361c3c847f122375a6859492e02ab48_to_hippo.pkl.gz,372.0,182.0,,,,
0,O=C1CSC[C@H](C(=O)Nc2cnn(C3CCCC3)c2)N1,UWKMOLXBPRPLBM-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C1CSCC(C(=O)O)N1,Nc1cnn(C2CCCC2)c1,Amidation,C22847,0.0,A0717a,A0341a,88.0,0.0,6e204b91fe6009ca2f529b2239b3993a,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A0341a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C22847/UWKMOLXBPRPLBM-UHFFFAOYSA-N/UWKMOLXBPRPLBM-UHFFFAOYSA-N_6e204b91fe6009ca2f529b2239b3993a_to_hippo.pkl.gz,88.0,31.0,,,,
0,CC(C)C[C@H](C(=O)N[C@@H]1CNC(=O)C1)n1ccnc1,WUAFTAWKKQKQSG-UHFFFAOYSA-N,NoReactants,All reactants were filtered for r1. No products will be found.,aizynthfinder,hippo,NC1CNC(=O)C1,CC(C)CC(C(=O)O)n1ccnc1,Amidation,C22516,0.0,A1180a,A3956a,,,d158873946878a7fc01e9d4279dad970,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A1180a_apo-desolv.pdb,,,,,,,
0,C[C@H](C1CC1)N(C(=O)c1cnccn1)c1ccccc1,LDOKSSWQCPKARK-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)c1cnccn1,CC(Nc1ccccc1)C1CC1,Amidation,C22220,0.0,A3181b,A1068a,1792.0,0.0,dcd731fa824fb9b24448fd62eecbcd3f,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3181b_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C22220/LDOKSSWQCPKARK-UHFFFAOYSA-N/LDOKSSWQCPKARK-UHFFFAOYSA-N_dcd731fa824fb9b24448fd62eecbcd3f_to_hippo.pkl.gz,1792.0,878.0,,,,
0,CCC(=O)Nc1ccc(NC(=O)C[C@@H](C)C(F)(F)F)cc1C,UGZOXRFYKLKGPI-UHFFFAOYSA-N,,,aizynthfinder,hippo,CC(CC(=O)O)C(F)(F)F,CCC(=O)Nc1ccc(N)cc1C,Amidation,C23130,0.0,A1445a,A0310a,3487.0,464.0,7c848870b61aadc77960932d639274a7,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A0310a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C23130/UGZOXRFYKLKGPI-UHFFFAOYSA-N/UGZOXRFYKLKGPI-UHFFFAOYSA-N_7c848870b61aadc77960932d639274a7_to_hippo.pkl.gz,3487.0,858.0,,,,
0,O=C(Cc1ncc[nH]1)NCC[S@@+]([O-])CC(F)(F)F,KYJVTOFXJSRGMR-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)Cc1ncc[nH]1,NCC[S+]([O-])CC(F)(F)F,Amidation,C2306,0.0,A0309a,A0239a,114.0,77.0,40ad18eca44ae38d98931cd16dfef17b,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A0239a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C2306/KYJVTOFXJSRGMR-UHFFFAOYSA-N/KYJVTOFXJSRGMR-UHFFFAOYSA-N_40ad18eca44ae38d98931cd16dfef17b_to_hippo.pkl.gz,114.0,38.0,,,,
0,<rdkit.Chem.rdchem.Mol object at 0x7f40231b7f40>,ZWZHRYGYRLXIEQ-UHFFFAOYSA-N,ReactionError,No atoms found involved in reaction Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol in mol OCC1CCCCN1 and CCC(C)O,aizynthfinder,hippo,OCC1CCCCN1,CCC(C)O,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,0.0,,,,,e4cfea6a903da4f88c56dc6df0f96a74,,,,,,,,
0,O=C1Nc2ccc(C3CCCC3)cc2C1=O,OBMSQRRNSRJRBN-UHFFFAOYSA-N,SMARTSError,Reaction name Sp3-sp2_Suzuki_coupling not found in SMARTS handler.,,,,,,C2514,,A2513a,A4706a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4706a_apo-desolv.pdb,,,,,,,
0,<rdkit.Chem.rdchem.Mol object at 0x7f0fa068fed0>,PFPJWHGWJHUTES-UHFFFAOYSA-N,ReactionError,No atoms found involved in reaction Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol in mol CSCCO and CC(C)(O)C1CCCCN1,aizynthfinder,hippo,CSCCO,CC(C)(O)C1CCCCN1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,0.0,,,,,27a6901142337a16330934ec1bfb2216,,,,,,,,
0,O=C(N[C@H]1C[C@H](n2ccnc2)C1)c1cnc2ncccn12,KKPJMJAAGWYOGV-UHFFFAOYSA-N,,,aizynthfinder,hippo,NC1CC(n2ccnc2)C1,CCOC(=O)c1cnc2ncccn12,Ester_amidation,C23517,0.0,A1209a,A0202a,2.0,0.0,fdd6999aaa2a8ddc48a537f5c5c2ada9,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A1209a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C23517/KKPJMJAAGWYOGV-UHFFFAOYSA-N/KKPJMJAAGWYOGV-UHFFFAOYSA-N_fdd6999aaa2a8ddc48a537f5c5c2ada9_to_hippo.pkl.gz,2.0,1.0,,,,
0,CCCS(=O)(=O)Nc1cccc(C(=O)N(C)Cc2ncon2)c1,ICJOJHQESJORQW-UHFFFAOYSA-N,,,aizynthfinder,hippo,CNCc1ncon1,CCCS(=O)(=O)Nc1cccc(C(=O)O)c1,Amidation,C25407,0.0,A1068a,A0719b,776.0,0.0,5af5b101850255196e9cb115d2a1b78d,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A0719b_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C25407/ICJOJHQESJORQW-UHFFFAOYSA-N/ICJOJHQESJORQW-UHFFFAOYSA-N_5af5b101850255196e9cb115d2a1b78d_to_hippo.pkl.gz,776.0,434.0,,,,
0,CC(C)=CCC[C@H](C)CC(=O)N(C(C)C)C1CCNCC1,MZHCZVDDNWLPPV-UHFFFAOYSA-N,,,aizynthfinder,hippo,CC(C)NC1CCNCC1,CC(C)=CCCC(C)CC(=O)O,Amidation,C2404,0.0,A4035a,A1775a,404.0,1.0,0eead51c274c3b8936847d47ec7c1fa3,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4035a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C2404/MZHCZVDDNWLPPV-UHFFFAOYSA-N/MZHCZVDDNWLPPV-UHFFFAOYSA-N_0eead51c274c3b8936847d47ec7c1fa3_to_hippo.pkl.gz,404.0,66.0,,,,
