SMARTSError,Reaction name Amine_alkylation not found in SMARTS handler.,25
SMARTSError,Reaction name Formation_of_sulfonamide_from_halide_-_Shavnya_reaction not found in SMARTS handler.,12
SMARTSError,Reaction name Sp3-sp2_Suzuki_coupling not found in SMARTS handler.,11
ValueError,ChemicalParserException: initMatchers() must be called before runReactants(),10
SMARTSError,Reaction name Sp2-sp2_Suzuki_coupling not found in SMARTS handler.,7
SMARTSError,Reaction name Isocyanate_to_urea not found in SMARTS handler.,6
NoReactants,All reactants were filtered for r2. No products will be found.,5
NoReactants,All reactants were filtered for r1. No products will be found.,5
SMARTSError,Reaction name Petasis-borono_Mannich_reaction not found in SMARTS handler.,4
KeyError,combined,3
OSError,File error: Bad input file /opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/c01_elabs_syndirella_inspiration_hits.sdf,2
ProductFormationError,All products filtered for step 1.,1
ReactionError,No atoms found involved in reaction Amidation in mol CC(Sc1ccccn1)C(=O)O and C1CC12CNOC2,1
ReactionError,No atoms found involved in reaction Amidation in mol CCC(=O)O and NOC1CCCCC1,1
ReactionError,No atoms found involved in reaction Amidation in mol O=C(O)CCC1CCCNC1 and NOC1CCCC1,1
ReactionError,No atoms found involved in reaction Amidation in mol NOC1CCC1 and CC(C(=O)O)n1ccc(C(F)(F)F)n1,1
ReactionError,No atoms found involved in reaction Amidation in mol NOC1CCCC1 and CC(C(=O)O)C1CCN(C(=O)OC(C)(C)C)C1,1
ReactionError,No atoms found involved in reaction Amidation in mol NOC1CCCC1 and CC(C(=O)O)C1CNC1,1
ReactionError,No atoms found involved in reaction Amidation in mol NOC1CCCC1 and CC(C(=O)O)c1ccccc1C(F)(F)F,1
ReactionError,No atoms found involved in reaction Amidation in mol NOC1CCCCC1 and CC(C(=O)O)N1CCN(C)CC1,1
ReactionError,No atoms found involved in reaction Amidation in mol NOC1CCCCC1 and COc1ccc(CCC(=O)O)cn1,1
ReactionError,No atoms found involved in reaction Amidation in mol NOC1CCCCC1 and Cc1cc(CCC(=O)O)no1,1
ReactionError,No atoms found involved in reaction Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol in mol OCC1CCCCN1 and CCC(C)O,1
ReactionError,No atoms found involved in reaction Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol in mol OC1CCCc2ccccc21 and O=C(CO)N1CCCC1,1
ReactionError,No atoms found involved in reaction Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol in mol O=C(NCCCO)N1CCCC1 and CC(C)(C)S,1
ReactionError,No atoms found involved in reaction Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol in mol CSCCO and CC(C)(O)C1CCCCN1,1
ReactionError,No atoms found involved in reaction Chan-Lam_coupling_(amination) in mol OB(O)c1ccccn1 and C=C1CCCNC1,1
ReactionError,No atoms found involved in reaction Amidation in mol ONC1CCCC1 and CN1CCCCC1CCC(=O)O,1
ReactionError,No atoms found involved in reaction Amidation in mol O=C(O)c1ccccn1 and CCCNO,1
ReactionError,No atoms found involved in reaction Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol in mol OCCC1CCCNC1 and O=C(CO)N1CCCCC1,1
SMARTSError,Reaction name Ester_Schotten-Baumann not found in SMARTS handler.,1
ReactionError,The reactants do not match the reaction SMARTS in reaction Chan-Lam_coupling_(amination) in mol NCc1cnco1 and OB(O)c1ccncc1F.,1
ReactionError,No atoms found involved in reaction Steglich_esterification in mol O=C(O)c1cn2c(n1)CCCC2 and Cn1ccc2ccc(O)cc21,1
ReactionError,No atoms found involved in reaction S-nucleophilic_aromatic_substitution in mol Sc1ncc[nH]1 and O=C(O)c1nccc(Cl)n1,1
ReactionError,No atoms found involved in reaction N-nucleophilic_aromatic_substitution in mol NCCCOC1CCOC1 and Clc1ccnc(N2CCCCC2)n1,1
ReactionError,No atoms found involved in reaction S-nucleophilic_aromatic_substitution in mol Clc1ccnc(N2CCCCC2)n1 and Sc1ccccn1,1
SMARTSError,Reaction name Mitsunobu_aryl_ether_synthesis not found in SMARTS handler.,1
ScaffoldPlacementError,Scaffold could not be successfully placed.,1
