smiles,hit0,hit1
[H]Oc1c([H])c(C([H])([H])N([H])c2nc3c([H])c([H])c([H])c([H])c3n2C([H])([H])C([H])([H])[H])c([H])c([H])c1C([H])([H])N([H])c1nc2c([H])c([H])c([H])c([H])c2[nH]1,Z0490a,Z0846a
[H]C1NC([H])[C@@H]2[C@H](C1[H])N1C3C([H])C([H])C([H])C([H])C(C3[H])N1C([H])([H])C2([H])[H],Z0490a,Z0852a
[H]c1c([H])c2c3c(nc([H])n3[C@](C([H])([H])[H])([C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])N2C([H])([H])[H])c1[H],Z0490a,Z0875a
[H]c1c([H])c([H])c2c(c1[H])c(N([H])[H])c([H])n2[C@]([H])(C(=O)N([H])[H])C([H])([H])[H],Z0490a,Z0884a
[H]C1=C(N(C([H])([H])[H])C([H])([H])[H])c2nc3c([H])c([H])c(F)c([H])c3n2C1([H])[H],Z0490a,Z0904a
[H]c1c([H])c(C(F)(F)F)c2c(nc([H])n2C([H])([H])C([H])([H])[H])c1[H],Z0490a,Z0917a
[H]c1c(C([H])([H])[H])c([H])c2nc3n(c2c1[H])[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C3([H])[H],Z0490a,Z0945a
[H]c1c([H])c(N([H])C([H])([H])N([H])C([H])([H])C([H])([H])[H])c([H])c([C@@]([H])(N([H])N([H])[H])C([H])([H])N([H])C([H])([H])[H])c1[H],Z0490a,Z0951a
[H]c1nn2c(c1C([H])([H])C([H])([H])C([H])([H])N([H])c1c([H])c([H])c([H])c3nc([H])n(C([H])([H])C([H])([H])[H])c13)C([H])([H])N([H])C([H])([H])C2([H])[H],Z0490a,Z0969a
[H]c1c([H])c([H])c2c(nc([H])n2C([H])([H])C([H])([H])[H])c1[H],Z0490a,Z0969b
[H]c1c([H])c2c3c(nc([H])n3C([H])([H])C(=O)C2([H])[H])c1[H],Z0490a,Z0990a
[H]c1c(N([H])C(=O)C([H])([H])[H])c([H])c(C([H])([H])N([H])c2nc3c([H])c([H])c([H])c([H])c3n2C([H])([H])C([H])([H])[H])c([H])c1N([H])C(=O)C([H])([H])OC([H])([H])[H],Z0490a,Z1046a
[H]C1=C([H])C([H]):n2c(nc3c([H])c([H])c(C([H])([H])[H])c([H])c32)C([H])=C1N([H])C(=O)C([H])([H])[H],Z0490a,Z1046b
[H]c1nn(C([H])([H])[H])c([H])c1N([H])C(=O)c1c([H])c([H])c([H])c2nc([H])n(C(F)(F)C([H])([H])[H])c12,Z0490a,Z1098a
[H]c1nn(C([H])([H])[H])c([H])c1N([H])C(=O)c1c([H])c([H])c2c(c1[H])[C@]1(C([H])([H])N2[H])C([H])([H])N([H])C([H])([H])[C@@]([H])(OC([H])([H])[H])C1([H])[H],Z0490a,Z1234a
[H]c1nc([H])c(C([H])([H])[H])c(N([H])C(=O)c2c([H])c([H])c(C([H])([H])C([H])([H])[H])c3nc([H])n(C([H])([H])C([H])([H])[H])c23)c1[H],Z0490a,Z1237a
[H]c1nn(C([H])([H])[H])c([H])c1N([H])C(=O)c1c([H])c([H])c2c(c1[H])[C@]1(C([H])([H])N2[H])C([H])([H])[C@@]([H])(C([H])([H])[H])N([H])[C@]([H])(C([H])([H])OC([H])([H])[H])C1([H])[H],Z0490a,Z1261a
[H]c1nn(C([H])([H])[H])c([H])c1N([H])C(=O)c1c([H])c([H])c2c(c1[H])[C@@]1(C([H])([H])N2[H])C([H])([H])C([H])([H])N([H])[C@@]2(N(C([H])([H])[H])C2([H])C([H])([H])[H])C1([H])[H],Z0490a,Z1265a
[H]c1nc([H])c(C([H])([H])[H])c(N([H])C(=O)C2C([H])[C@@H](C([H])([H])[H])N3C([H])NC4C([H])C([H])C([H])[C@H]2C43)c1[H],Z0490a,Z1271a
[H]c1nc([H])c(C([H])([H])[H])c(N([H])C(=O)C2C([H])C([H])C([H])C34NC(N3)C([H])C([H])S[C@H]24)c1[H],Z0490a,Z1274a
[H]c1nn(C([H])([H])[H])c([H])c1N([H])C(=O)c1c([H])c([H])c2c(c1[H])[C@]1(C([H])([H])N2[H])C([H])([H])N([H])[C@]([H])(F)[C@@]([H])(C([H])([H])[H])C1([H])[H],Z0490a,Z1288a
[H]OC([H])([H])C(c1nc2c([H])c(Cl)c([H])c(N([H])C([H])([H])c3nc(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])sc3[H])c2n1C([H])([H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],Z0490a,Z1291a
[H]c1c([H])c(S(=O)(=O)C([H])([H])[H])c(N([H])C(=O)c2c([H])c([H])c([H])c3nc([H])n(C([H])([H])C([H])([H])[H])c23)c([H])c1N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],Z0490a,Z1317a
[H]c1nn(C([H])([H])[H])c([H])c1N([H])C(=O)c1c([H])c([H])c2c(c1[H])[C@]1(C([H])([H])N2[H])C([H])([H])N([H])[C@]([H])(OC([H])([H])[H])C([H])([H])C1([H])[H],Z0490a,Z1320a
[H]Oc1c([H])c([H])c(C([H])([H])N([H])c2c([H])c(Cl)c([H])c3nc(N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O[H])n(C([H])([H])C([H])([H])[H])c23)c([H])c1C([H])([H])N(C([H])([H])[H])C([H])([H])[H],Z0490a,Z1333a
[H]c1nn(C([H])([H])[H])c([H])c1N([H])C(=O)c1c([H])c([H])c([H])c2nc([H])n(C([H])([H])C([H])([H])[H])c12,Z0490a,Z1342a
[H]c1c([H])c(S(=O)(=O)C([H])([H])[H])c(N([H])C(=O)c2c([H])c([H])c([H])c3nc([H])n(C([H])([H])C([H])([H])[H])c23)c([H])c1N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],Z0490a,Z1390a
[H]c1nn(C([H])([H])[H])c([H])c1N([H])C(=O)c1c([H])c([H])c2c(c1[H])[C@@]1(C([H])([H])N2[H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])N(N([H])C([H])([H])[H])C1([H])[H],Z0490a,Z1398a
[H]Oc1c([H])c([H])c(C([H])([H])N([H])c2c([H])c(Cl)c([H])c3nc(N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O[H])n(C([H])([H])C([H])([H])[H])c23)c([H])c1C([H])([H])N(C([H])([H])[H])C([H])([H])[H],Z0490a,Z1406a
[H]c1nn2c(c1N([H])C(=O)[C@@]1([H])c3c([H])c([H])c([H])c4c3N(C([H])([H])N4[H])C([H])([H])C1([H])[H])C([H])([H])N([H])C([H])([H])C2([H])[H],Z0490a,Z1413a
[H]c1nn(C([H])([H])[H])c([H])c1N([H])C(=O)c1c([H])c([H])c2c(c1[H])[C@@]1(C([H])([H])N2[H])C([H])([H])N([H])[C@]([H])(N([H])C([H])([H])[H])[C@]([H])(N([H])C([H])([H])[H])C1([H])[H],Z0490a,Z1451a
[H]C1:C(N([H])[C@]([H])(N([H])C([H])([H])OC([H])([H])[H])N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])C([H])C2C(C([H])([H])C([H])([H])C([H])([H])[H])NC([H])N2:C:1C([H])([H])[H],Z0490a,Z1470a
[H]c1c([H])c(N([H])C(=O)c2c([H])c([H])n3c([H])c(C([H])([H])[H])nc3c2[H])c2c(nc([H])n2C([H])([H])C([H])([H])[H])c1[H],Z0490a,Z1495a
[H]c1nc2nc(C([H])([H])[H])c([H])c(N(C([H])([H])[H])C([H])([H])N([H])C([H])([H])C([H])([H])[H])n2n1,Z0490a,Z1596a
[H]c1nc([H])c(C([H])([H])[H])c(N([H])C(=O)c2c([H])c([H])c([H])c3nc(C([H])([H])C([H])([H])[H])n(C([H])([H])C([H])([H])[H])c23)c1[H],Z0490a,Z1597a
[H]c1c([H])c(Cl)c2c(nc([H])n2C([H])([H])C([H])([H])[H])c1[H],Z0490a,Z1664a
[H]c1c([H])c(C([H])([H])[H])c(N([H])C(=O)c2c([H])c([H])c([H])c3nc([H])n(C([H])([H])C([H])([H])[H])c23)c([H])c1N([H])[H],Z0490a,Z1667a
[H]c1c(Cl)c(Cl)c2c(nc([H])n2C([H])([H])C([H])([H])[H])c1[H],Z0490a,Z1674a
[H]c1c(N([H])[H])c([H])c2nc([H])n(C([H])([H])C([H])([H])[H])c2c1C([H])([H])[H],Z0490a,Z1681a
[H]c1nc2c(n1C([H])([H])C([H])([H])[H])[C@@]1(N([H])[C@]([H])(C([H])([H])[H])N([H])C1([H])[H])C([H])([H])C([H])([H])C2([H])[H],Z0490a,Z1688a
[H]C1=Nc2c([H])c([H])c([H])c3c([H])c([H])c(C([H])([H])[H])c1c23,Z0490a,Z1713a
[H]C1C2:C([C@@H](C([H])([H])[H])C([H])C([H])[C@H](C([H])([H])[H])N2)[C@H](OC([H])([H])C(=O)N([H])[H])C1[H],Z0490a,Z1715a
