target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1,reactant-4-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2
C4264,1,,,,NCCc1nc2c(s1)CCCC2,Brc1nc(-c2cccnc2)cs1,c1cncc(-c2csc(NCCc3nc4c(s3)CCCC4)n2)c1,N-nucleophilic_aromatic_substitution,,,,,,,,,,
C15322,1,,,,O=[N+]([O-])c1c(Br)nc2ccccn12,NCCc1cccc2cccnc12,O=[N+]([O-])c1c(NCCc2cccc3cccnc23)nc2ccccn12,N-nucleophilic_aromatic_substitution,,,,,,,,,,
C14550,1,,,,Nc1cncnc1,CCC1c2ccccc2CN1C(=O)C(=O)O,CCC1c2ccccc2CN1C(=O)C(=O)Nc1cncnc1,Amidation,,,,,,,,,,
C16128,1,,,,C1CNCC(N2CCNCC2)C1,O=C(O)C1C=CCC1,O=C(C1C=CCC1)N1CCCC(N2CCNCC2)C1,Amidation,,,,,,,,,,
C51214,1,,,,OCc1ccc2cccnc2c1,NC1(c2ccccn2)CCC1,c1ccc(C2(NCc3ccc4cccnc4c3)CCC2)nc1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,,,,,,,,
C4227,1,,,,CS(=O)(=O)c1nc2ccccc2[nH]1,O=C(NCc1cscn1)c1ccoc1,O=C(c1ccoc1)N(Cc1cscn1)c1nc2ccccc2[nH]1,Nucleophilic_aromatic_substitution_(methylsulfone),,,,,,,,,,
C47617,1,,,,Nc1cncnc1,CN(C)C(=O)N1CCCC(C(=O)O)C1,CN(C)C(=O)N1CCCC(C(=O)Nc2cncnc2)C1,Amidation,,,,,,,,,,
C6526,1,,,,NCc1ccc2c(c1)CNC2,CCOC(C)c1ncc(C(=O)O)s1,CCOC(C)c1ncc(C(=O)NCc2ccc3c(c2)CNC3)s1,Amidation,,,,,,,,,,
C9601,1,,,,Cc1cnn2c1CNCC2,OCC(F)C1CCNCC1,Cc1cnn2c1CN(CC(F)C1CCNCC1)CC2,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,,,,,,,,
C52423,1,,,,NCCc1nc2ccccc2s1,Cc1cn2ccc(Br)cc2n1,Cc1cn2ccc(NCCc3nc4ccccc4s3)cc2n1,N-nucleophilic_aromatic_substitution,,,,,,,,,,
