target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C351829,1,,,,CCN(C)N,Cn1c(Cl)c(C(=O)O)c2cc(Cl)c(Cl)cc21,CCN(C)NC(=O)c1c(Cl)n(C)c2cc(Cl)c(Cl)cc12,Amidation,,
C352422,1,,,,CC(N)CS,COc1ccc2c(c1)c(C(=O)O)c(C)n2C1CC1,COc1ccc2c(c1)c(C(=O)NC(C)CS)c(C)n2C1CC1,Amidation,,
C352175,1,,,,CCCCCn1cc(C(=O)O)c2ccccc21,CCN(C)N,CCCCCn1cc(C(=O)NN(C)CC)c2ccccc21,Amidation,,
C353088,1,,,,CC(N)CO,COc1ccc2c(c1)c(C(=O)O)c(C)n2C1CCCC1,COc1ccc2c(c1)c(C(=O)NC(C)CO)c(C)n2C1CCCC1,Amidation,,
