name gnina_score gnina_score_min smina_score_min min_rmsd 
P534556 6.528 6.594 -8.213 0.352
P534557 6.100 6.046 -5.322 1.176
P534558 5.479 5.222 -4.872 1.259
P534559 5.862 6.014 -7.566 0.348
P534560 5.398 5.295 -7.112 0.652
P534561 6.453 6.496 -7.713 0.524
P534562 6.581 6.710 -8.254 0.475
P534563 6.290 6.313 -6.890 0.362
P534565 6.425 6.387 -8.191 0.459
P534566 6.161 6.138 -7.893 0.226
P534567 6.256 6.248 -7.766 0.460
P534569 6.459 6.410 -7.702 0.233
P534570 6.373 6.401 -6.904 0.373
P534572 5.987 5.993 -7.948 0.280
P534573 6.038 6.031 -7.861 0.222
P534575 6.305 6.275 -8.179 0.464
P534577 6.357 6.314 -7.694 0.233
P534579 5.829 5.852 -7.962 0.303
P534580 6.112 6.118 -7.756 0.430
P534581 6.367 6.346 -8.395 0.263
P534583 6.217 6.241 -7.964 0.461
P534585 6.493 6.481 -9.344 0.636
P534587 6.368 6.284 -9.113 0.745
P534588 6.250 6.195 -8.295 0.379
P534589 6.362 6.404 -8.434 0.491
P534591 6.072 6.116 -7.960 0.479
P534592 6.265 6.220 -8.362 0.213
P534594 6.345 6.400 -8.099 0.534
P534595 6.111 6.108 -7.811 0.243
P534596 6.226 6.218 -7.688 0.635
P534598 6.360 6.223 -7.707 0.495
P534600 5.919 5.948 -7.902 0.316
P534601 6.363 6.368 -6.920 0.360
P534603 5.867 5.907 -7.938 0.429
P534605 6.405 6.415 -7.637 0.294
P534606 6.098 6.113 -7.826 0.230
P534608 6.375 6.342 -8.087 0.350
P534609 6.350 6.359 -6.914 0.232
P534610 6.213 6.234 -7.560 0.199
P534611 6.493 6.616 -8.122 0.595
P534612 6.399 6.353 -8.651 0.261
P534613 6.415 6.530 -8.126 0.566
P534614 6.497 6.464 -8.671 0.315
P534615 6.071 6.085 -7.812 0.313
P534618 6.405 6.297 -8.998 0.455
P534620 6.319 6.331 -7.935 0.471
P534621 6.412 6.356 -8.266 0.405
P534622 6.046 6.082 -7.638 0.291
P534623 6.165 6.199 -7.583 0.466
P534624 6.359 6.300 -7.518 0.263
P534626 5.916 5.952 -7.803 0.484
P534628 6.314 6.276 -6.831 0.587
P534630 6.487 6.468 -9.042 0.385
P534631 6.108 6.161 -7.722 0.236
P534633 6.444 6.439 -8.349 0.221
P534634 6.376 6.385 -8.259 0.419
P534636 6.421 6.408 -8.256 0.335
P534638 6.478 6.457 -8.108 0.361
P534639 6.361 6.352 -8.256 0.378
P534641 6.633 6.649 -8.490 0.214
P534642 6.586 6.608 -7.950 0.377
P534643 6.317 6.344 -8.050 0.561
P534644 6.186 6.203 -7.852 0.347
P534646 6.334 6.309 -8.163 0.291
P534647 6.795 6.579 -6.874 0.419
P534649 6.355 6.304 -8.760 0.465
P534651 6.213 6.017 -8.310 0.888
P534652 6.765 5.931 -7.519 1.854
P534653 6.557 6.494 -8.578 0.354
P534655 6.549 6.554 -8.488 0.221
P534656 6.542 6.587 -8.066 0.481
P534657 6.456 6.462 -8.596 0.272
P534658 6.515 6.529 -7.819 0.728
P534660 6.509 6.518 -8.074 0.360
P534662 6.466 6.401 -8.120 0.386
P534664 6.617 6.613 -7.970 0.346
P534665 6.427 6.436 -8.403 0.474
P534666 6.207 5.607 -7.418 2.051
P534668 6.089 5.748 -7.386 1.277
P534669 6.159 5.600 -6.855 2.060
P534672 6.362 5.623 -8.577 2.049
P534673 5.969 5.345 -8.572 2.107
P534676 6.461 6.285 -4.531 2.184
P534677 6.405 6.431 -8.224 0.406
P534680 6.395 5.929 -8.762 1.526
P534683 6.422 5.532 -7.830 2.325
P534684 6.208 5.335 -8.617 1.964
P534685 6.130 5.644 -8.095 1.378
P534687 6.634 6.607 -8.535 0.415
P534688 6.397 6.578 -8.717 0.907
P534690 6.627 6.570 -8.607 0.396
P534691 6.510 6.539 -6.397 0.556
P534694 6.332 6.354 -8.068 0.319
P534695 6.561 6.514 -8.268 0.595
P534696 6.796 6.611 -6.631 0.525
P534699 6.547 5.896 -8.155 1.734
P534701 6.352 5.626 -7.737 2.009
P534703 6.684 6.689 -7.886 0.332
P534704 6.630 6.620 -8.713 0.605
P534706 6.736 6.512 -7.204 0.645
P534709 6.645 6.638 -7.934 0.635
P534711 6.572 6.586 -7.829 0.770
P534712 6.688 6.732 -8.548 0.388
P534713 6.526 6.566 -8.547 0.386
P534717 6.494 6.466 -4.518 0.365
P534718 6.043 6.033 -7.383 0.306
P534719 5.520 5.540 -7.241 0.220
P534720 5.942 4.897 -6.343 2.427
P534722 3.946 3.664 -3.130 1.063
P534724 3.704 3.669 -3.080 0.616
P534725 3.899 3.711 -3.530 1.811
P534726 3.964 3.744 -3.343 2.053
P534727 3.705 3.693 -3.272 0.670
P534728 3.683 3.658 -3.226 0.551
P534729 3.701 3.667 -3.170 0.551
P534730 3.836 3.579 -3.597 1.782
P534731 3.775 3.673 -3.254 0.680
P534732 3.570 3.755 -2.689 1.616
P534733 3.774 3.817 -3.143 0.868
P534737 4.181 3.819 -4.135 3.555
P534740 3.971 3.730 -3.615 1.704
P534741 4.115 3.886 -3.893 3.997
P534742 4.118 4.034 -3.194 0.984
P534744 3.727 3.716 -3.217 0.733
P534745 3.845 3.864 -2.822 0.756
P534746 3.659 3.659 -3.067 0.892
P534747 4.121 3.869 -3.487 1.928
P534748 3.840 3.854 -3.120 0.845
P534749 3.835 3.958 -3.045 1.192
P534752 3.913 3.865 -3.311 0.585
P534753 3.868 3.730 -2.895 1.213
P534754 4.091 3.897 -4.044 3.654
P534755 4.082 3.817 -3.839 4.148
P534758 3.688 3.691 -3.179 0.783
P534759 4.013 3.879 -3.309 0.714
P534760 3.945 3.819 -2.890 1.204
P534761 3.657 3.728 -3.145 0.872
P534762 3.959 3.737 -3.466 1.467
P534764 4.135 3.952 -3.091 1.055
P534765 3.804 3.866 -2.584 1.429
P534766 3.911 3.934 -3.140 0.550
P534768 3.830 4.226 -3.486 2.213
P534769 4.143 3.880 -3.388 1.865
P534771 4.109 3.964 -3.502 1.987
P534772 4.153 3.976 -3.038 1.131
P534773 4.042 3.749 -3.366 2.249
P534774 3.783 3.854 -2.870 0.703
P534775 3.918 3.665 -4.093 4.368
P534776 3.768 3.730 -3.025 0.795
P534777 4.147 3.924 -3.347 1.967
P534779 3.979 3.757 -3.311 0.927
P534780 3.717 3.890 -3.466 2.379
P534781 3.804 3.781 -2.769 1.107
P534782 3.744 3.752 -3.040 1.131
P534783 3.866 3.803 -3.231 3.939
P534784 3.787 3.815 -3.614 2.742
P534785 3.740 4.130 -3.272 2.824
P534786 4.075 3.860 -3.332 1.801
P534787 3.673 3.801 -3.217 2.584
P534789 4.103 3.831 -3.311 2.103
P534793 4.175 3.997 -3.199 0.928
P534794 4.150 3.944 -3.352 2.183
P534795 3.948 4.029 -2.890 0.971
P534797 3.843 3.900 -2.831 0.872
P534798 4.913 4.736 -5.709 0.539
P534799 4.967 4.806 -6.027 0.687
P534800 5.182 5.001 -4.977 0.598
P534801 5.154 4.803 -5.670 2.337
P534802 5.004 4.914 -3.807 0.708
P534803 5.010 4.795 -5.536 0.332
P534804 5.073 4.460 -5.834 2.370
P534805 5.230 5.065 -5.902 0.814
P534806 5.163 5.161 -3.801 0.739
P534807 4.893 4.658 -5.309 1.442
P534808 4.918 4.472 -5.492 2.285
P534809 5.147 4.410 -6.051 2.401
P534810 5.184 5.208 -5.066 1.890
P534811 5.158 4.716 -5.606 2.590
P534812 5.071 4.897 -4.542 0.791
P534813 5.150 5.132 -4.121 0.489
P534814 5.132 4.980 -5.979 1.647
P534815 5.248 5.227 -4.050 0.337
P534817 4.977 4.352 -5.646 2.341
P534818 5.455 4.822 -5.577 2.139
P534819 5.327 5.194 -5.945 1.152
P534820 5.110 4.980 -5.795 2.531
P534821 5.235 4.650 -5.946 2.308
P534822 5.248 5.129 -2.764 0.402
P534823 5.264 4.986 -6.204 2.129
P534824 5.321 4.688 -5.649 2.625
P534826 5.398 4.696 -5.907 2.404
P534828 5.178 4.790 -6.710 2.112
P534829 5.327 5.270 -3.172 0.732
P534830 5.077 4.106 -6.281 2.246
P534831 5.155 4.273 -5.937 1.970
P534832 5.198 5.274 -5.524 1.676
P534833 5.361 5.236 -4.801 2.050
P534834 5.030 4.479 -6.314 1.542
P534836 5.252 5.377 -6.308 1.299
P534837 5.323 5.038 -6.236 1.787
P534838 5.357 5.249 -4.240 0.497
P534839 4.936 4.890 -5.744 2.029
P534840 5.181 4.954 -5.644 1.972
P534841 5.289 5.099 -6.017 2.326
P534842 5.381 5.104 -6.193 1.921
P534843 5.412 5.542 -6.049 1.368
P534844 5.267 5.181 -5.928 2.237
P534845 5.359 4.986 -5.811 2.501
P534846 5.593 5.631 -2.609 0.601
P534847 5.613 5.561 -4.811 1.118
P534848 5.312 5.203 -5.436 2.338
P534849 5.186 4.946 -4.984 1.328
P534850 5.421 5.276 -1.248 0.648
P534852 5.411 5.248 -6.119 1.436
P534854 5.206 4.391 -6.645 1.882
P534855 5.223 4.096 -5.903 2.397
P534856 5.194 4.878 -6.303 2.319
P534857 5.340 4.625 -5.162 3.206
P534858 5.536 5.434 -3.546 1.100
P534859 5.667 5.624 -1.977 0.448
P534860 5.274 4.852 -4.947 2.350
P534862 5.153 4.324 -6.351 2.254
P534863 5.411 5.082 -4.346 0.895
P534864 5.164 4.727 -5.785 1.815
P534865 5.058 5.184 -5.845 1.522
P534866 4.979 4.741 -5.452 1.863
P534867 5.154 5.072 -6.358 1.819
P534869 5.297 4.802 -5.700 1.958
P534870 5.302 5.176 -4.711 1.833
P534871 5.194 4.886 -4.794 2.155
P534872 5.399 5.144 -6.096 2.398
P534873 5.654 5.239 -4.906 2.411
P534875 5.197 4.783 -5.358 1.031
P534876 5.205 5.204 -1.904 0.501
P534877 5.316 4.781 -6.432 2.526
P534878 5.266 4.487 -5.907 2.477
P534880 5.449 5.180 -6.656 1.381
P534881 5.480 5.570 -4.143 1.798
P534883 5.301 5.340 -6.030 1.790
P534884 5.355 5.310 -5.840 1.316
P534886 5.440 5.243 -6.487 2.368
P534887 5.616 5.397 -3.974 2.537
P534888 4.961 4.758 -5.628 1.411
P534889 5.658 5.501 -4.567 2.236
P534890 5.126 4.506 -6.133 2.774
P534891 5.154 4.302 -4.712 3.128
P534895 5.554 5.673 -3.658 1.371
P534896 5.621 5.761 0.203 0.532
P534897 5.484 5.451 -4.359 1.496
P534899 5.166 4.656 -5.884 1.468
P534900 5.275 4.996 -3.559 1.409
P534901 5.443 5.417 -5.743 2.421
P534902 5.451 5.381 -4.714 1.626
P534903 5.419 5.391 -3.838 0.845
P534904 5.563 5.429 -3.923 2.779
P534905 5.696 5.623 -5.114 2.514
P534906 5.130 5.082 -5.626 3.305
P534907 5.786 5.790 1.780 0.466
P534908 5.750 5.946 -0.230 0.925
P534909 5.677 5.130 -4.279 2.927
P534910 5.793 5.018 -4.800 4.452
P534911 5.612 5.015 -5.966 2.050
P534912 5.935 5.900 -0.655 0.407
P534913 5.952 5.912 1.945 0.721
P534914 5.701 5.967 -6.869 1.696
P534916 5.382 5.303 -5.701 0.571
P534918 6.207 6.013 -4.937 0.841
P534919 5.427 5.983 -8.786 0.724
P534920 6.002 5.934 -6.025 0.600
P534923 6.462 6.379 -6.291 0.772
P534925 5.928 5.800 -7.008 0.560
P534926 6.210 6.191 -7.362 0.543
P534927 5.997 5.889 -3.594 0.372
P534928 5.976 5.893 -5.277 0.577
P534930 6.665 6.596 -7.088 0.644
P534931 5.987 5.817 -8.312 0.977
P534933 5.874 5.742 -7.881 1.037
P534935 5.909 5.965 -8.437 0.317
P534936 6.241 6.263 -7.553 0.253
P534937 6.317 6.354 -7.242 0.211
P534938 6.319 6.356 -7.569 0.241
P534939 6.383 6.405 -7.198 0.208
P534940 5.840 5.673 -6.863 1.015
P534941 6.160 6.218 -6.333 0.297
P534942 6.396 6.430 -7.438 0.256
P534943 6.416 6.434 -7.075 0.236
P534944 6.348 6.400 -7.185 0.256
P534945 6.360 6.493 -6.994 0.308
P534946 5.932 6.135 -6.726 0.593
P534947 6.016 5.729 -6.517 1.114
P534948 6.393 6.409 -6.951 0.213
P534949 5.996 6.159 -5.771 0.291
P534950 6.083 5.760 -6.808 1.021
P534951 6.381 6.413 -7.221 0.267
P534952 6.034 5.712 -6.601 0.984
P534954 6.489 6.377 -2.687 0.867
P534955 6.456 6.374 -3.082 0.717
P534956 6.091 5.617 -6.717 1.804
P534957 6.300 6.248 -2.750 0.581
P534958 5.613 5.721 -4.956 0.734
P534959 6.322 6.060 -6.880 0.871
P534960 5.369 5.363 -6.013 0.491
P534962 5.726 5.718 -7.072 0.632
P534965 5.509 5.479 -6.101 0.527
P534966 5.392 5.233 -6.362 0.444
P534967 5.394 5.326 -7.026 0.599
P534968 5.600 5.424 -6.627 0.783
P534969 5.272 5.033 -7.038 1.259
P534972 5.652 5.681 -6.742 0.628
P534973 5.768 5.742 -7.545 0.421
P534976 5.865 5.583 -6.621 0.734
P534979 5.744 5.851 -6.980 0.674
P534982 5.499 5.424 -8.340 0.474
P534983 4.946 5.040 -5.024 0.595
P534984 5.851 5.832 -8.677 0.413
P534986 5.497 5.497 -5.764 0.775
P534987 5.876 5.584 -7.353 1.024
P534988 5.614 5.364 -6.817 0.737
P534989 5.352 5.058 -5.836 1.907
P534990 5.724 5.356 -5.743 2.219
P534991 5.929 5.570 -2.416 2.143
P534992 5.953 5.890 -6.265 0.347
P534994 5.904 5.998 -8.027 0.388
P534996 5.536 5.172 -7.166 0.427
P534997 5.908 5.685 -4.753 1.109
P534998 4.776 5.162 -4.296 0.619
P534999 5.547 5.467 -5.589 0.535
P535001 6.169 6.190 -5.817 0.430
P535004 4.391 3.913 -4.516 1.356
P535005 4.527 4.355 -3.858 1.481
P535018 4.661 4.442 -4.184 1.305
P535032 4.748 4.202 -3.838 2.854
P535033 4.993 3.978 -4.004 3.407
P535054 5.546 5.055 -5.811 1.740
P535055 5.642 5.572 -7.354 0.502
P535056 5.798 5.826 -6.485 0.209
P535057 5.592 5.551 -6.611 0.439
P535059 5.929 5.996 -7.210 0.367
P535060 5.399 5.604 -6.558 0.762
P535061 5.638 5.714 -7.134 0.413
P535065 5.019 4.442 -4.912 2.691
P535074 5.097 5.189 -4.202 0.628
P535079 5.694 5.694 -6.531 0.379
P535080 6.017 5.926 -5.293 0.446
P535083 5.937 5.978 -5.520 0.500
P535090 5.002 4.927 -4.962 0.731
P535094 5.673 5.817 -7.001 0.893
P535095 5.894 5.860 -6.461 0.396
P535100 6.030 6.150 -6.981 0.456
P535102 6.124 6.106 -6.817 0.290
P535103 6.047 6.084 -6.614 0.589
P535104 5.835 5.738 -6.891 0.345
P535105 4.975 4.869 -4.969 1.660
P535109 5.437 5.350 -6.737 0.504
P535110 6.098 6.078 -7.062 0.801
P535117 5.010 5.138 -5.118 1.079
P535126 6.154 6.201 -6.768 0.326
P535127 5.992 6.042 -8.005 0.612
P535128 6.057 5.976 -5.272 0.495
P535129 5.637 5.604 -6.331 0.473
P535133 5.941 5.931 -6.114 0.327
P535134 6.083 5.876 -6.472 0.684
P535144 5.945 5.837 -7.138 0.894
P535147 4.984 5.076 -5.707 0.545
P535148 4.990 4.937 -5.401 1.033
P535149 6.128 6.099 -7.507 0.527
P535150 5.850 5.987 -6.544 0.431
P535151 5.461 5.140 -5.482 0.735
P535152 5.689 5.796 -6.354 0.420
P535153 5.801 5.990 -5.702 0.694
P535154 6.118 6.174 -6.941 0.528
P535155 5.483 5.305 -5.891 0.669
P535156 5.803 5.750 -5.413 0.442
P535157 5.914 5.731 -7.104 0.847
P535160 4.863 4.942 -5.444 1.847
P535163 5.209 5.506 -6.168 0.636
P535165 5.698 5.946 -6.921 0.332
P535167 5.115 4.801 -6.052 1.710
P535171 4.956 4.719 -5.787 1.666
P535173 5.411 6.053 -6.309 0.842
P535175 6.205 5.943 -6.265 1.037
P535176 5.783 6.000 -7.813 1.470
P535178 6.085 6.207 -6.900 0.200
P535179 5.909 5.865 -6.786 0.834
P535180 6.165 6.146 -7.115 0.723
P535181 5.855 5.851 -5.906 0.735
P535182 5.790 6.092 -5.031 0.867
P535184 5.748 5.557 -6.207 3.693
P535185 5.222 4.966 -6.403 1.207
P535186 5.723 5.708 -7.475 0.847
P535191 5.164 4.970 -4.957 1.909
P535192 5.801 5.879 -6.455 0.291
P535193 5.899 5.760 -3.530 1.009
P535194 5.919 5.888 -7.589 0.544
P535199 5.394 5.510 -5.062 0.331
P535200 6.170 6.141 -7.568 0.653
P535201 5.700 5.755 -1.631 0.403
P535204 5.883 5.858 -8.003 0.543
P535205 5.540 5.412 -6.815 0.751
P535206 4.650 4.818 -5.935 0.805
P535207 4.511 4.599 -5.889 0.853
P535208 4.694 4.608 -6.286 0.743
P535209 4.974 5.044 -6.608 0.721
P535211 4.943 4.861 -5.978 0.852
P535212 5.208 5.106 -6.158 0.415
P535213 5.242 5.254 -5.975 0.295
P535215 4.790 4.743 -6.131 0.701
P535217 5.411 5.405 -5.517 0.361
P535218 5.488 5.411 -6.059 0.597
P535219 5.140 5.210 -6.146 0.341
P535221 4.937 4.724 -6.015 0.995
P535224 5.312 5.080 -6.017 0.743
P535226 4.970 4.952 -5.764 0.609
P535227 4.968 4.963 -6.244 0.512
P535228 4.952 4.937 -6.437 0.666
P535229 5.407 5.503 -6.740 0.382
P535230 4.941 4.966 -6.158 0.416
P535231 5.151 5.161 -7.144 0.634
P535232 4.976 4.867 -6.176 0.752
P535234 5.328 5.296 -6.489 0.389
P535235 5.115 5.152 -5.537 0.367
P535236 5.512 5.475 -6.449 0.370
P535240 5.075 5.112 -6.187 0.303
P535242 4.887 4.712 -6.065 0.973
P535245 4.755 4.712 -6.320 0.783
P535246 5.383 5.378 -6.693 0.665
P535247 5.189 5.134 -6.796 0.906
P535248 5.282 5.192 -6.375 0.558
P535249 4.925 4.730 -6.416 1.106
P535250 4.836 4.727 -6.228 0.483
P535254 5.245 5.272 -7.228 0.644
P535255 5.530 5.517 -6.064 0.496
P535257 5.335 5.221 -6.407 0.558
P535258 4.949 4.794 -6.321 0.698
P535259 4.966 5.000 -6.967 0.297
P535260 5.208 5.251 -5.811 0.399
P535261 4.870 4.758 -6.579 1.006
P535262 5.221 5.074 -6.798 0.869
P535263 5.315 5.082 -6.101 0.884
P535264 4.894 4.720 -6.382 1.193
P535265 5.395 5.190 -6.207 0.837
P535266 5.227 5.129 -6.299 0.617
P535267 4.875 4.792 -6.352 0.641
P535268 4.719 4.674 -6.585 0.715
P535269 5.054 4.959 -7.094 0.813
P535270 5.337 5.294 -6.194 0.399
P535273 4.604 4.095 -5.982 1.166
P535274 5.283 5.167 -6.235 0.816
P535276 5.351 5.187 -6.829 1.022
P535278 5.430 5.382 -6.390 0.836
P535281 5.409 5.357 -6.311 0.768
P535283 5.043 5.169 -6.059 0.573
P535286 5.281 5.426 -6.737 0.393
P535287 5.163 5.128 -6.194 0.642
P535289 5.401 5.417 -6.359 0.478
P535292 5.121 5.258 -6.443 0.356
P535293 4.960 4.734 -6.131 0.751
P535295 5.337 5.306 -7.530 0.813
P535296 5.507 5.567 -6.391 0.282
P535297 4.839 4.368 -4.893 1.711
P535300 5.457 5.510 -6.399 0.751
P535301 5.171 5.079 -6.470 0.703
P535306 5.051 4.902 -5.994 0.998
P535308 5.318 4.844 -5.469 0.918
P535312 5.015 4.951 -5.579 0.633
P535314 4.817 4.657 -6.097 1.104
P535318 4.701 4.742 -5.498 0.491
P535319 4.995 5.101 -6.291 0.906
P535321 5.089 4.900 -4.273 0.441
P535322 4.918 4.924 -5.756 0.421
P535325 5.636 5.682 -6.271 0.392
P535327 5.115 4.999 -6.670 0.678
P535328 5.294 5.041 -6.831 0.740
P535332 4.893 4.748 -6.401 1.032
P535333 4.826 4.811 -6.253 0.946
P535335 4.648 4.789 -5.231 1.244
P535336 5.636 5.640 -5.915 0.304
P535337 5.157 5.036 -5.302 1.349
P535339 4.914 4.809 -6.569 0.676
P535343 5.176 5.201 -5.600 0.537
P535344 5.366 5.653 -6.351 0.510
P535346 4.709 4.787 -4.971 1.181
P535347 5.035 4.987 -5.744 0.386
P535350 4.848 4.793 -5.804 0.869
P535353 4.916 4.619 -4.807 1.001
P535354 5.141 5.332 -7.088 0.865
P535355 4.739 4.742 -6.651 0.638
P535356 4.934 5.117 -6.833 0.427
P535358 4.786 4.775 -6.286 0.799
P535360 5.013 4.937 -6.654 0.708
P535365 5.283 5.219 -6.363 1.065
P535369 5.150 5.088 -7.459 0.757
P535370 5.199 5.183 -6.359 0.762
P535374 4.882 4.829 -5.696 0.295
P535375 5.721 5.794 -6.005 0.430
P535377 5.264 5.386 -5.700 0.676
P535381 5.002 4.849 -5.974 0.746
P535382 5.151 4.979 -6.175 1.060
P535385 5.028 5.058 -5.964 0.404
P535386 5.095 5.340 -6.893 0.724
P535387 5.312 5.228 -6.722 0.729
P535389 5.153 4.873 -6.259 1.429
P535390 5.538 5.686 -7.480 1.131
P535391 5.004 5.226 -6.135 0.498
P535392 5.044 4.906 -6.623 0.849
P535394 5.380 5.279 -6.390 0.821
P535397 5.323 5.461 -7.222 1.125
P535401 4.842 4.854 -5.966 0.760
P535405 4.989 5.009 -6.296 0.501
P535407 5.401 5.335 -6.785 0.569
P535412 5.556 5.544 -6.468 0.500
P535413 5.301 5.047 -6.380 0.797
P535418 5.155 5.172 -6.188 0.339
