target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C350381,1,,,,Cn1cc(C(=O)O)c2ccc(Br)cc21,CCC(C)N,CCC(C)NC(=O)c1cn(C)c2cc(Br)ccc12,Amidation,,
C440959,1,,,,CC(N)CF,O=C(O)c1cccc2c3c([nH]c12)CCCC3,CC(CF)NC(=O)c1cccc2c3c([nH]c12)CCCC3,Amidation,,
C352433,1,,,,CC(Br)CN,COc1ccc2c(c1)c(C(=O)O)c(C)n2C1CC1,COc1ccc2c(c1)c(C(=O)NCC(C)Br)c(C)n2C1CC1,Amidation,,
C352435,1,,,,COc1ccc2c(c1)c(C(=O)O)c(C)n2C1CC1,CCC(C)N,CCC(C)NC(=O)c1c(C)n(C2CC2)c2ccc(OC)cc12,Amidation,,
C352438,1,,,,COc1ccc2c(c1)c(C(=O)O)c(C)n2C1CC1,C=CCCN,C=CCCNC(=O)c1c(C)n(C2CC2)c2ccc(OC)cc12,Amidation,,
C352441,1,,,,ClC1CNC1,COc1ccc2c(c1)c(C(=O)O)c(C)n2C1CC1,COc1ccc2c(c1)c(C(=O)N1CC(Cl)C1)c(C)n2C1CC1,Amidation,,
C352442,1,,,,COc1ccc2c(c1)c(C(=O)O)c(C)n2C1CC1,NCCNO,COc1ccc2c(c1)c(C(=O)NCCNO)c(C)n2C1CC1,Amidation,,
C440969,1,,,,CSCCN,CC1CCc2[nH]c3c(C(=O)O)cccc3c2C1,CSCCNC(=O)c1cccc2c3c([nH]c12)CCC(C)C3,Amidation,,
C350399,1,,,,Cn1cc(C(=O)O)c2cc(F)ccc21,NN1CCC1,Cn1cc(C(=O)NN2CCC2)c2cc(F)ccc21,Amidation,,
C440975,1,,,,CC(N)C#N,CC1CCc2[nH]c3c(C(=O)O)cccc3c2C1,CC1CCc2[nH]c3c(C(=O)NC(C)C#N)cccc3c2C1,Amidation,,
C350401,1,,,,Cn1cc(C(=O)O)c2ccc(Br)cc21,CCCCN,CCCCNC(=O)c1cn(C)c2cc(Br)ccc12,Amidation,,
C384185,1,,,,O=C(O)C#CBr,Nc1cc(Br)cc(N2CCC(=O)NC2=O)c1,O=C(C#CBr)Nc1cc(Br)cc(N2CCC(=O)NC2=O)c1,Amidation,,
C440991,1,,,,NCCNO,CCOC(=O)c1cc2cccc(C(=O)O)c2[nH]1,CCOC(=O)c1cc2cccc(C(=O)NCCNO)c2[nH]1,Amidation,,
C350417,1,,,,C#CC(C)N,Cn1cc(C(=O)O)c2cc(Br)ccc21,C#CC(C)NC(=O)c1cn(C)c2ccc(Br)cc12,Amidation,,
C350419,1,,,,Cn1cc(C(=O)O)c2cc(Br)ccc21,CC(N)CCl,CC(CCl)NC(=O)c1cn(C)c2ccc(Br)cc12,Amidation,,
C438948,1,,,,CCN(C)N,O=C(O)c1cc(Br)cc2cc[nH]c12,CCN(C)NC(=O)c1cc(Br)cc2cc[nH]c12,Amidation,,
C440999,1,,,,CC1CC1N,CC1CCc2[nH]c3c(C(=O)O)cccc3c2C1,CC1CCc2[nH]c3c(C(=O)NC4CC4C)cccc3c2C1,Amidation,,
C350426,1,,,,CC(N)CS,Cn1cc(C(=O)O)c2cc(Br)ccc21,CC(CS)NC(=O)c1cn(C)c2ccc(Br)cc12,Amidation,,
C384203,1,,,,O=C(O)C#CBr,Nc1cc(Cl)cc(N2CCC(=O)NC2=O)c1,O=C(C#CBr)Nc1cc(Cl)cc(N2CCC(=O)NC2=O)c1,Amidation,,
C350431,1,,,,NCC=CCl,Cn1cc(C(=O)O)c2cc(Br)ccc21,Cn1cc(C(=O)NCC=CCl)c2cc(Br)ccc21,Amidation,,
C441009,1,,,,NC1CCC1,CC1CCc2[nH]c3c(C(=O)O)cccc3c2C1,CC1CCc2[nH]c3c(C(=O)NC4CCC4)cccc3c2C1,Amidation,,
C441010,1,,,,CC(N)CS,CC1CCc2[nH]c3c(C(=O)O)cccc3c2C1,CC1CCc2[nH]c3c(C(=O)NC(C)CS)cccc3c2C1,Amidation,,
C350437,1,,,,Cn1cc(C(=O)O)c2cc(Br)ccc21,NN1CCC1,Cn1cc(C(=O)NN2CCC2)c2cc(Br)ccc21,Amidation,,
C441015,1,,,,NCC=CCl,CC1CCc2[nH]c3c(C(=O)O)cccc3c2C1,CC1CCc2[nH]c3c(C(=O)NCC=CCl)cccc3c2C1,Amidation,,
C350441,1,,,,Cn1cc(C(=O)O)c2cc(Br)ccc21,CC(C)(C)N,Cn1cc(C(=O)NC(C)(C)C)c2cc(Br)ccc21,Amidation,,
C441017,1,,,,CC(S)CN,CC1CCc2[nH]c3c(C(=O)O)cccc3c2C1,CC(S)CNC(=O)c1cccc2c3c([nH]c12)CCC(C)C3,Amidation,,
C350443,1,,,,NCCCBr,Cn1cc(C(=O)O)c2cc(Br)ccc21,Cn1cc(C(=O)NCCCBr)c2cc(Br)ccc21,Amidation,,
C350446,1,,,,Cn1cc(C(=O)O)c2cc(Br)ccc21,CC#CCN,CC#CCNC(=O)c1cn(C)c2ccc(Br)cc12,Amidation,,
C441023,1,,,,CCN(C)N,CC1CCc2[nH]c3c(C(=O)O)cccc3c2C1,CCN(C)NC(=O)c1cccc2c3c([nH]c12)CCC(C)C3,Amidation,,
