id,smiles
498,CC(C)(CNS(=O)(=O)c1ccc2scnc2c1)C1CCCN1
525,CC(NC(=O)C(=O)NCCc1ccc2ncsc2c1)C1CCC1
532,O=C(c1ccc2scnc2c1)N1CCN(C2CCSCC2)CC1
533,O=C(Cc1ccc2ncsc2c1)N1CCN(C2CCC2)CC1
540,c1ccc2sc(N3CCN(C4CCSCC4)CC3)nc2c1
678,O=C(OCc1ccc2cn[nH]c2c1)C1(n2cccn2)CCC1
684,CC(OC(F)F)C(=O)Nc1n[nH]c2cccc(-n3cccn3)c12
686,CC(NCC(n1cccn1)C(F)(F)F)c1cccc2[nH]ncc12
712,c1ccc(N2C3CCC2CC3)nc1
717,C=C1CCCN(c2ccccn2)C1
722,c1cncc(C2SCCCS2)c1
733,c1ccc(N2CCC3CC3C2)nc1
736,c1ccc(N2CCCCC2)nc1
748,c1ccc([S+]2CCCC2)nc1
758,CC(C)(C)C=C1CCCC1C1CCCCN1
759,CCC=C1CCN(C2CCCNC2)C1
760,C1CN(C2CCNCC2)CC2(C1)CC2
765,C#CC=C1CCCC1C1CCCCN1
787,C1CNCC(C2CCC3CC32)C1
795,C1=CCN(C2CCNCC2)C1
798,CC=C1CCN(C2CCCNC2)C1
805,C1CNCC(N2CCC3(CC3)C2)C1
872,CN(Cc1ccc2c(c1)OCO2)C(=O)C(=O)NCCC1CCCS1
875,c1cc2c(cc1-c1n[nH]cc1CNC1CCCCC1)OCO2
899,O=C(CCc1ccc2c(c1)OCO2)NC1CCC1C1CCC1
901,O=C(CCc1ccc2c(c1)OCO2)Nc1ccn(C2CCC2)n1
934,O=C(CCC1CCNC1)NCC1CCn2cnnc2C1
936,c1ccc(-c2nnc3n2CC(c2nc(C4CCCN4)no2)CC3)cc1
947,CCCN(C(=O)C1CCc2nncn2C1)C1CCNC1
961,O=C(NNC1=NCCS1)C1CCCn2cnnc21
973,OC1CCCc2nnc(CC3CCSCC3)n21
1002,C#CC(NC(=O)C1CCc2nnc(C)n2C1)C1CCC1
1109,c1cc2c(cc1C1CCNCC1)CCCN2
1120,O=C(COC1CNC1)NCCN1CCCc2ccccc21
1132,COc1ccc2c(c1)CCCN2C(=O)CSCC1CCNCC1
1142,COc1ccc2c(c1)C(NC(=O)C1CCCCCN1)CCN2
1169,c1cc2c(c(N3CCCCCCC3)c1)NCCC2
1192,c1cc2c(c(N3CCCCCC3)c1)NCCC2
1238,O=C(C(F)C1CCNC1)N1CCc2cccc(C(F)(F)F)c2C1
1257,c1cc2c(c(N3CCCC3)c1)CCNC2
1281,C1=CCC(C2NCCc3ccccc32)CC1
1287,CCC(C)C(NC(=O)C1Cc2ccccc2CN1)C(=O)NC1CCCC1
1304,O=C(CCN1CCNCC1)NO
1305,O=C(CCC1CCNC1)NO
1311,CC(C(=O)NO)N1CCNCC1
1318,CC(C(=O)NOC1CCCC1)C1CNC1
1322,CCC(=O)NOC1CCCCC1
1328,CC(C(=O)NO)C1CCCCC1
1335,CC(C(=O)NO)C1CCC1
1338,CN1CCCCC1CCC(=O)N(O)C1CCCC1
1349,COc1ccc(CCC(=O)NOC2CCCCC2)cn1
1353,Cc1cc(CCC(=O)NOC2CCCCC2)no1
1357,CC(C(=O)NOC1CCCCC1)N1CCN(C)CC1
1359,CC(C(=O)NOC1CCC1)n1ccc(C(F)(F)F)n1
1360,CC(C(=O)NOC1CCCC1)c1ccccc1C(F)(F)F
1361,CC(C(=O)NOC1CCC1)N1CC(NC(=O)OC(C)(C)C)C1
1366,CC(C(=O)NOC1CCCC1)C1CCN(C(=O)OC(C)(C)C)C1
1373,N#CCN(CC#N)C(=O)CCC1CCCCN1
1375,CCCCCCCC(=O)NC(C)C1CCCNC1
1382,C#CCCNC(=O)CC1CCCCN1
1384,CCC(CCCC(F)(F)F)NC(=O)CC1CCCNC1
1386,CC(C)CNC(=O)CC(C)C1CCCNC1
1391,CCCCN(CCCC)C(=O)CC(C)C1CCCNC1
1392,CC(C)(C(=O)NCC(F)(F)F)C1CCCNC1
1394,CSCC(C)(C)NC(=O)C(F)(F)C1CCCNC1
1399,CC(C)CN(CCC#N)C(=O)CC1CCCNC1
1401,CCC(C)N(CC)C(=O)CC1CCCNC1
1402,C#CC(=O)NCC1CCCNC1
1403,CSC(CNC(=O)N1CCCCC1)C(C)(C)C
1404,CCCCN(CCCC)C(=O)N(C)C1CCNCC1
1406,CCC(C)(C)CNC(=O)C1CCCCN1
1413,CCNC(=O)CC1CCCCN1
1414,CCCCC(C)NC(=O)C1CCNCC1
1417,CCN(C)C(=O)CN(C)C1CCNCC1
1418,CCC=C(C)C(=O)NCC1CCCCN1
1419,C=CC(CC)CC(=O)NCC1CCCCN1
1446,CC1C(C(=O)O)(n2cccn2)CCS1(=O)=O
1447,O=C(Oc1cccc(-c2ccccn2)c1)C1CCS(=O)(=O)C1
1455,O=C(NCC1CCCS1(=O)=O)NCC1(c2ccncc2)CCC1
1509,O=C(NCC1CCCN1)NCC1CCCS1(=O)=O
1526,COCCN(C(=O)CC1CCN1)C1CCS(=O)(=O)C1
1602,CCC(CC(=O)NC(C)c1ncco1)C(C)(C)C
1603,CCCCN(CC)C(=O)c1cnco1
1613,CC(CCNC(=O)C=Cc1cocn1)[S+](C)[O-]
1682,CSCC(=O)NCC1(CCNC(=O)C23CCC(CC2)OC3)CC1
1685,CC(NC(=O)C1CC(S(C)(=N)=O)C1)C1CC1
1719,CC(NC(=O)c1cccc(C(N)=O)n1)C1CC1
1786,c1ncc(C2CCNCC2)s1
1791,C1CCc2oc(C3CCNCC3)nc2C1
1799,C1CCc2c(noc2C2CCCNC2)C1
1803,c1nc(C2CCCCN2)co1
1807,c1cc(C2CCCNC2)sn1
1811,c1ncc(C2CCCNC2)c2c1CCCC2
1814,c1nc2c(cc1C1CCCNC1)CCCC2
1823,c1cc(C2CCCCN2)ccn1
1841,c1cn(C2CNC2)cn1
1851,c1cn(C2CCNC2)cn1
1877,c1c[nH]c(C2CCCN2)n1
1883,Cn1cncc1CCC(=O)NCCCCCN1CCNCC1
2016,CNC(=O)C(Cc1c[nH]cn1)NC(=O)c1ccc(C)nc1
2040,c1nc2c(n1C1CCCNC1)CCCC2
2044,c1nc2n(c1C1CCCNC1)CCC2
2060,c1nc(C2CCNCC2)n2c1CCC2
2063,CC(=O)NC(C)C1CCN(S(=O)(=O)c2cnc3n2CCC3)CC1
2073,CCC(C#N)C(=O)NC1CCCN(C(=O)c2cnc3n2CCC3)C1
2081,CCOC(=O)NC1CCCN(C(=O)c2cn3c(n2)CCC3)C1
2086,C1CCC(c2nc3c([nH]2)CCCC3)NC1
2091,C1CC(c2nc3c([nH]2)CCSC3)CCN1
2123,CC(N)C(=O)CN1CCC(c2c[nH]cn2)CC1
2124,CCOC(=O)NC1CCCN(C(=O)CCc2c[nH]cn2)C1
2306,O=C(Cc1ncc[nH]1)NCC[S+]([O-])CC(F)(F)F
2344,COC(=O)CCN(C)C(=O)CCNC(=O)C(O)C1CCCCN1
2365,CC(C)C(O)C(=O)NCC(C)(CO)NC(=O)CN1CCCCC1
2375,C=C(C)C(C)(F)C1CCCCN1
2378,CCC(C)OCC1CCCCN1
2382,CC(C)CC(=O)C(C)(C)N1CCCCC1
2388,CC(C)(C)C(=O)CC1CCCNC1
2390,CCON(CC1CCCNC1)C(C)C
2396,COC(C)C1CCCNC1
2400,COCCCC1CCCNC1
2403,CON(CC1CCCCN1)C(C)C
