id,smiles,tag
189363,COc1cccc(OC)c1CC(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,True
189388,COc1ccc(F)cc1CC(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,True
189391,COc1ccc(CC(=O)N2CC(C(N)=O)C(C(F)(F)F)C2)c(OC)c1,True
189395,COc1cccc(Cl)c1CC(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,True
189398,COc1ccccc1C(OC)C(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,True
189399,COc1ccccc1C(NC(=O)OC(C)(C)C)C(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,True
189437,NC(=O)C1CN(C(=O)Cc2ccccc2OC(F)F)CC1C(F)(F)F,True
189442,COc1cc(C)ccc1CC(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,True
189460,COc1ccc(Br)cc1CC(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,True
189487,COc1ccccc1C(F)(F)C(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,True
189508,COc1cc(F)ccc1CC(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,True
189533,COc1ccc(Cl)cc1CC(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,True
189539,COc1ccc(Br)cc1C(=O)C(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,True
189567,COc1ccc2ccccc2c1CC(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,True
191887,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccc(F)cc12,True
192428,CC1CCC(C(N)=O)CN1C(=O)Cc1c(-c2cc(Cl)cc(Cl)c2)cnn1C,True
194236,COc1ccc(C)cc1CC(=O)N1CC(C)C(C(N)=O)C1,True
194276,COc1ccccc1C(C)C(=O)N1CC(C)C(C(N)=O)C1,True
194286,COc1ccccc1C(=O)C(=O)N1CC(C)C(C(N)=O)C1,True
194288,COc1cccc(OC)c1CC(=O)N1CC(C)C(C(N)=O)C1,True
194312,COc1ccc(F)cc1CC(=O)N1CC(C)C(C(N)=O)C1,True
194316,COc1ccc(CC(=O)N2CC(C)C(C(N)=O)C2)c(OC)c1,True
194320,COc1cccc(Cl)c1CC(=O)N1CC(C)C(C(N)=O)C1,True
194323,COc1ccccc1C(OC)C(=O)N1CC(C)C(C(N)=O)C1,True
194362,CC1CN(C(=O)Cc2ccccc2OC(F)F)CC1C(N)=O,True
194367,COc1cc(C)ccc1CC(=O)N1CC(C)C(C(N)=O)C1,True
194387,COc1ccc(Br)cc1CC(=O)N1CC(C)C(C(N)=O)C1,True
194419,COc1ccccc1C(F)(F)C(=O)N1CC(C)C(C(N)=O)C1,True
194435,COc1cc(F)ccc1CC(=O)N1CC(C)C(C(N)=O)C1,True
194458,COc1ccc(Cl)cc1CC(=O)N1CC(C)C(C(N)=O)C1,True
194870,NC(=O)C1CN(C(=O)Cc2cccc3occc23)CC(F)(F)C1,True
194915,COc1ccccc1C(OC)C(=O)N1CC(C(N)=O)CC(F)(F)C1,True
194984,NC(=O)C1CN(C(=O)Cc2cccc3nsnc23)CC(F)(F)C1,True
199037,CC1CC(C(N)=O)CN(C(=O)Cc2cccc3occc23)C1,True
199090,CSc1ccccc1C(NC(=O)OC(C)(C)C)C(=O)N1CC(C)CC(C(N)=O)C1,True
199161,CC1CC(C(N)=O)CN(C(=O)Cc2cccc3nsnc23)C1,True
199272,CCSc1ccccc1CC(=O)N1CC(C)CC(C(N)=O)C1,True
200078,CCC(COC)Sc1cccc(OC)c1NC(=O)N1CCCC(C(N)=O)C1,True
200757,CC1CCC(C(N)=O)CN1C(=O)Cc1cccc2nsnc12,True
200764,NC(=O)C1CC(C(N)=O)CN(C(=O)Cc2cccc3nsnc23)C1,True
202695,CC1CC(C(N)=O)CN(C(=O)C(C)c2noc3ccccc23)C1,True
203272,CC(C(=O)N1CC(C(N)=O)CCC1C)c1cn(C)nc1C(F)(F)F,True
203281,CC1CC(C(N)=O)CN(C(=O)C(C)c2cn(C)nc2C(F)(F)F)C1,True
203378,CC(C(=O)N1CCC(F)(F)C(C(N)=O)C1)c1cn(C)nc1C(F)(F)F,True
203419,CC(C(=O)N1CC(C(N)=O)CC(C(N)=O)C1)c1cn(C)nc1C(F)(F)F,True
208909,Cn1nc(C(=O)NC2CCOC2)c2cc(F)ccc21,True
209711,CC1CC(C(N)=O)CN(C(=O)Cc2cccc3nn(C)cc23)C1,True
209780,Cn1cc2c(CC(=O)N3CC4CCCC4(C(N)=O)C3)cccc2n1,True
209808,Cn1cc2c(CC(=O)N3CCC(F)(F)C(C(N)=O)C3)cccc2n1,True
209837,CC1CCC(C(N)=O)CN1C(=O)Cc1cccc2nn(C)cc12,True
209843,Cn1cc2c(CC(=O)N3CC(C(N)=O)CC(C(N)=O)C3)cccc2n1,True
213412,CC1CC(C(N)=O)CN(C(=O)C2SCCc3sccc32)C1,True
213730,CC1CCC(C(N)=O)CN1C(=O)C1SCCc2sccc21,True
217256,CSc1ccc(Br)cc1CC(=O)N1CC(C(N)=O)CC(C(N)=O)C1,True
219728,COc1ncccc1CC(=O)N1CC(C(N)=O)CCC1C,True
219729,COc1ncccc1CC(=O)N1CC(C(N)=O)CC(C(N)=O)C1,True
219730,COc1ncccc1CC(=O)N1CC(C)CC(C(N)=O)C1,True
219736,COc1ncc(Br)cc1CC(=O)N1CC(C)CC(C(N)=O)C1,True
220820,COc1ccccc1C(OC)C(=O)N1CC(C)CC(C(N)=O)C1,True
220920,COc1ccccc1C(OC)C(=O)N1CCC(F)(F)C(C(N)=O)C1,True
220965,COc1ccccc1C(OC)C(=O)N1CC(C(N)=O)CC(C(N)=O)C1,True
222198,COc1ccncc1CC(=O)N1CC(C(N)=O)CCC1C,True
222200,COc1ccncc1CC(=O)N1CC(C(N)=O)CC(C(N)=O)C1,True
222202,COc1ccncc1CC(=O)N1CC(C)CC(C(N)=O)C1,True
222991,COc1ncccc1CC(=O)N1CCC(F)(F)C(C(N)=O)C1,True
223005,COc1ncc(Br)cc1CC(=O)N1CC(C(N)=O)CCC1C,True
230174,CCC(C)(C)Sc1cccc(OC)c1NC(=O)N1CCCC(C(N)=O)C1,True
230175,CCC(C)Sc1cccc(OC)c1NC(=O)N1CCCC(C(N)=O)C1,True
230194,COc1cccc(SC2CCOC2)c1NC(=O)N1CCCC(C(N)=O)C1,True
230213,COCC(C)(C)Sc1cccc(OC)c1NC(=O)N1CCCC(C(N)=O)C1,True
230438,COc1cccc(SC(C)(C)C)c1NC(=O)N1CCCC(C(N)=O)C1,True
230484,COCC(C)Sc1cccc(OC)c1NC(=O)N1CCCC(C(N)=O)C1,True
231657,CSc1ccc(Br)cc1CC(=O)N1CC(C(N)=O)CCC1(C)C,True
234864,CC1CCC(C(N)=O)CN1C(=O)C1CCc2cccc(Cl)c21,True
