target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1
C113525,1,,,,NCc1ccc(-n2cnc3ccccc32)nc1,O=C(O)CC1CCCC1,O=C(CC1CCCC1)NCc1ccc(-n2cnc3ccccc32)nc1,Amidation,,,
C1219,1,,,,O=C(O)CCc1cncs1,c1cc(C2NCC23CCC3)ccn1,O=C(CCc1cncs1)N1CC2(CCC2)C1c1ccncc1,Amidation,,,
C48454,1,,,,Nc1ccn2ccnc2c1,CCc1cnccc1C(C)N,CCc1cnccc1C(C)NC(=O)Nc1ccn2ccnc2c1,Formation_of_urea_from_two_amines,,,
C56508,1,,,,Nc1csc(-c2ccncc2)n1,CC(O)(C(=O)O)C1CCOC1,CC(O)(C(=O)Nc1csc(-c2ccncc2)n1)C1CCOC1,Amidation,,,
C775,1,,,,Ic1ccc(C2CC2)nc1,CC1(C)OB(c2ccnc3ccccc23)OC1(C)C,c1ccc2c(-c3ccc(C4CC4)nc3)ccnc2c1,Sp2-sp2_Suzuki_coupling,,,
C9579,1,,,,CON=CC(=O)O,c1cc(-c2csc(C3CCNCC3)n2)ccn1,CON=CC(=O)N1CCC(c2nc(-c3ccncc3)cs2)CC1,Amidation,,,
C15616,1,,,,CC(CN)N1CCc2sccc2C1,O=C(O)c1cccnc1S,CC(CNC(=O)c1cccnc1S)N1CCc2sccc2C1,Amidation,,,
C3289,1,,,,Nc1ccncn1,O=C(O)c1cccnc1C1CC1,O=C(Nc1ccncn1)c1cccnc1C1CC1,Amidation,,,
C10474,1,,,,COc1cnc2ccccc2c1C(=O)O,CNCc1ccncc1,COc1cnc2ccccc2c1C(=O)N(C)Cc1ccncc1,Amidation,,,
C9118,1,,,,Cc1cc(F)ccn1,CNC1CCCNC1,Cc1cc(N(C)C2CCCNC2)ccn1,N-nucleophilic_aromatic_substitution,,,
C12342,1,,,,NCc1cncs1,CC(=O)NCc1ccc(C=O)cc1,CC(=O)NCc1ccc(CNCc2cncs2)cc1,Reductive_amination,,,
C15858,1,,,,O=C(O)c1ccc2c(c1)CNC2,OCc1ccc2cccnc2c1,O=C(O)c1ccc2c(c1)CN(Cc1ccc3cccnc3c1)C2,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,
C3693,1,,,,O=C(O)CCc1c[nH]cn1,NCc1nnc(-c2ccncc2)[nH]1,O=C(CCc1c[nH]cn1)NCc1nnc(-c2ccncc2)[nH]1,Amidation,,,
C50104,1,,,,O=C(O)CC1CCC(=O)NC1,Cc1cc(C(C)N)ccn1,Cc1cc(C(C)NC(=O)CC2CCC(=O)NC2)ccn1,Amidation,,,
C56396,1,,,,O=C(O)COc1cccc2cccnc12,CNC1CCN(c2ncnc3ccccc23)CC1,CN(C(=O)COc1cccc2cccnc12)C1CCN(c2ncnc3ccccc23)CC1,Amidation,,,
C116066,1,,,,O=C(O)CCCn1ccnc1,NCc1nc2ccccn2c1Br,O=C(CCCn1ccnc1)NCc1nc2ccccn2c1Br,Amidation,,,
C6213,1,,,,CC(C)Cc1nc(C(=O)O)cs1,CC(O)c1nc2ccccc2[nH]1,CC(C)Cc1nc(C(=O)OC(C)c2nc3ccccc3[nH]2)cs1,Steglich_esterification,,,
C116156,1,,,,O=C(O)c1cc2c(s1)CCNC2,COCC(N)c1ccccn1,COCC(NC(=O)c1cc2c(s1)CCNC2)c1ccccn1,Amidation,,,
