target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2
C13296,2,,,,CC(C)(C)OC(=O)N1CCNCC1c1cccnc1,,c1cncc(C2CNCCN2)c1,N-Boc_deprotection,,,,c1cncc(C2CNCCN2)c1,O=C(O)c1ccc2ncsc2c1,O=C(c1ccc2ncsc2c1)N1CCNC(c2cccnc2)C1,Amidation,,
C69166,2,,,,c1cnc(N2CCNCC2)nc1,O=C(O)Cc1csc2nccn12,O=C(Cc1csc2nccn12)N1CCN(c2ncccn2)CC1,Amidation,,,,C1CNCCN1,Ic1ncccn1,c1cnc(N2CCNCC2)nc1,N-nucleophilic_aromatic_substitution,,
