id,smiles,tags
141606,O=C(Nc1ccc2c(c1)CN(c1ccccc1)C2)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
141607,O=C(Nc1ccc2c(c1)C(=O)N(c1ccc(F)cc1)C2=O)c1ccc2c(c1)C1(CC1)C(=O)N2,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
141608,CC(C)c1ccc(N2Cc3ccc(NC(=O)c4ccc5c(c4)C(C)(C)C(=O)N5C)cc3C2)cc1,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
141757,Cc1c[nH]c2c(Cl)cc(C(=O)Nc3ccc4c(c3)CN(C)C4=O)cc12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
141758,Cc1c[nH]c2c(Cl)cc(C(=O)Nc3ccc4c(c3)C(=O)N(C)C4=O)cc12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
141759,CCN1Cc2cc(NC(=O)c3cc(Cl)c4[nH]cc(C)c4c3)ccc2C1=O,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
141760,CCCCN1Cc2cc(NC(=O)c3cc(Cl)c4[nH]cc(C)c4c3)ccc2C1=O,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142775,Cc1ccc(C(=O)Nc2ccc3c(c2)CN(C)C3)c2[nH]cc(C#N)c12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142776,Cc1ccc(C(=O)Nc2ccc3c(c2)CNC3=O)c2[nH]cc(C#N)c12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142777,Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)NC3)c2[nH]cc(C#N)c12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142778,CCN1Cc2ccc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)cc2C1,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142779,Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C)C3)c2[nH]cc(C#N)c12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142780,Cc1ccc(C(=O)N(C)c2ccc3c(c2)CN(C)C3)c2[nH]cc(C#N)c12,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
142781,Cc1ccc(C(=O)Nc2cc3c(cc2F)CNC3=O)c2[nH]cc(C#N)c12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142782,Cc1ccc(C(=O)Nc2ccc3c(c2)CN(C)C3=O)c2[nH]cc(C#N)c12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142783,Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)NC3=O)c2[nH]cc(C#N)c12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142784,Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C)C3=O)c2[nH]cc(C#N)c12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142785,CC(=O)N1Cc2ccc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)cc2C1,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
142786,CCCN1Cc2ccc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)cc2C1,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
