id,smiles,soaks,hits,openbind_xx01zvns2b_c1_fragmenstein,openbind_xx01zvns2b_c1_elaborated_scaffolds,openbind_xx01zvns2b_c1_scaffolds,openbind_xx01zvns2b_c1_knitwork_pure,openbind_xx01zvns2b_c1_knitwork_impure,openbind_xx01zvns2b_c2_hit_analogues_85percent,C18 85percent analogue,C86 85percent analogue,C86 90percent analogue,openbind_xx01zvns2b_c2_hit_analogues_90percent,openbind_xx01zvns2b_c2_elabs,syndirella_product,C16 85percent analogue,C77 85percent analogue,C72 85percent analogue,C171 85percent analogue,C127 85percent analogue,C173 85percent analogue,C83 85percent analogue,C17 85percent analogue,C48 85percent analogue,C7 85percent analogue,C75 85percent analogue,C51 85percent analogue,C52 85percent analogue,C51 90percent analogue,openbind_xx01zvns2b_c2_hit_analogues_95percent,C51 95percent analogue,C73 85percent analogue,C28 85percent analogue,C28 90percent analogue,C45 85percent analogue,C73 90percent analogue,C9 85percent analogue,C43 85percent analogue,C108 85percent analogue,C71 85percent analogue,C108 90percent analogue,C25 85percent analogue,C38 85percent analogue,C150 85percent analogue,C151 85percent analogue,C82 90percent analogue,C84 85percent analogue,C82 85percent analogue,C83 90percent analogue,C39 85percent analogue,C10 85percent analogue
121271,Cc1cccc(O)c1N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121286,O=C(O)c1cc(Cl)cc2[nH]cnc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121289,Ic1ccc2c(c1)CNC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121310,C1CNCCN1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121336,NCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121388,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121392,NC1CCN(c2ccccn2)C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121412,C[Mg]I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121476,O=C(O)CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121480,CNc1ccc(Br)cn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121483,CNc1ccc(Cl)cn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121491,CCCBr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121564,CC(=O)Nc1ccc2c(c1)CNC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121572,Nc1ccc2c(c1)CNCCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121585,Nc1cnn(Cc2ccncc2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121610,Nc1cccc(F)c1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121623,CN(C)CCl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121631,Nc1ccc(C2CCOC2)cc1F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121655,Nc1ccc(F)cc1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121676,C=CCBr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121684,O=C(O)c1cccc2[nH]c(C(F)(F)F)nc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121747,NCc1cccc(N)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121750,CC(C)(N)CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121752,NC(=O)C1CCNCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121774,CC1(C)OB(c2c[nH]c3ccccc23)OC1(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121796,NCCc1ccc(N)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121822,NCc1cccc(NC(=O)c2cccnc2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121872,CS(=O)(=O)OC1CNC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121882,CC1(C)Cc2cc(N)ccc2O1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121891,O=CC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121941,O=C(O)c1cc(Cl)cc2c1cnn2C1CNC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121968,O=C(O)C(=O)OCc1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121970,NC(=O)c1cc(N)cc(Cl)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121986,CC(=O)NC(CCCN)C(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122007,Cc1cnccc1N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122035,Cc1cn2ccc(C(=O)O)cc2n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122058,N=C(N)N1CCNCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122061,Cc1cc(N)cc(CN)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122098,CC(N)CBr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122135,O=C(O)c1cc(Cl)ccc1I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122220,O=C(O)c1cccc2ncccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122258,Cc1ncc(B2OC(C)(C)C(C)(C)O2)cn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122297,CCOCC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122385,O=CCl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122404,CC(C)C(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122406,O=C(O)CCl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122408,O=C(O)CBr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122411,CC(C)Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122424,Nc1ccc2c(n1)CNC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122539,CN(C)CC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122547,O=C(O)CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122641,Nc1ccc(N2CCCC2=O)c(F)c1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122728,Cc1ccc(N)cc1-c1nnn[nH]1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122766,O=C(O)C1CCCNC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122794,O=C(O)c1cc(Cl)cc(I)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122800,O=C(O)c1cc(Cl)cc(Br)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122834,N#Cc1c[nH]c2c(C(=O)O)cccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
